Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","13677.76","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","14255.74","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","15605.47","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","17319.41","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","25245.41","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","21762.53","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","million USD","955.6","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","million USD","1017.69","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","1067.57","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","1100.29","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","1228.43","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","1324.5","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","1490.06","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","1559.07","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","1583.77","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","1576.59","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","1772.3","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","1848","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","1779.95","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","1914.57","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","2125.24","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","2326.06","consolidated General Government"
"IG","Government Expenditure","052","Barbados","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","1153.71","consolidated General Government"
"IG","Government Expenditure","052","Barbados","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","1129.24","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","8326.52","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","10858.68","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","14670.05","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","17739.58","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","22601.28","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","29592.87","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","23502.77","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","24855.36","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","21984.03","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","26220.06","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","31415.13","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","31027.19","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","22372.19","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","19309.27","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","22651.63","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","24354.1","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","26216.53","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","25552.11","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","27166.76","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","29508.17","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","million USD","116739.98","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","million USD","128303.03","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","161970.05","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","181735.36","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","199895.41","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","198935.24","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","228271.75","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","261512.1","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","262307.08","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","257662.86","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","286735.85","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","277966.18","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","290857.71","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","293398.73","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","248264.75","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","252702.15","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","261590.06","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","283956.05","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","278164.66","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","309196.13","consolidated General Government"
