Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","3218.99","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","3198.57","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","3210.97","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","3233.81","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","4105.24","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","3776.19","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","1160.38","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","1351.77","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","1669.9","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","1727.32","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","1781.69","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","1747.52","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","1764.31","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","2017.4","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","1959.08","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","1784.83","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","1805.46","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","1678.44","consolidated General Government"
