"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Belize",2019,2865,11688.7,0.06,28,NA,98,88,13.2,0.1,6.6,0.1,40.1,0.1,20.5,0.1,1771,2290,0.25,2.4,NA,11.5,0.1
"Belize",2020,2864,9934.9,0.52,42,NA,98,88,12.8,0.1,6.3,0.1,40.8,0.1,NA,NA,1776,2297,0.25,2.41,NA,11.6,0.1
"Belize",2021,2849,11559.9,0.27,43,NA,98,88,12.4,0.1,6.1,0.1,41.6,0.1,NA,NA,1782,2305,0.25,2.42,NA,NA,NA
"Belize",2022,2909,12407,0.43,29,NA,98,88,12,0.1,5.9,0.1,42.3,0.1,NA,NA,1787,2310,0.25,2.42,NA,NA,NA
"Benin",2017,2642,3158,0.03,18,NA,66,17,32.5,0.6,1.8,0.1,9.4,0.6,55,1.4,1713,2205,0.29,3.4,2,16.8,0.1
"Benin",2018,2633,3272.4,-0.15,22,NA,66,18,32.3,0.6,1.8,0.1,9.7,0.6,55.1,1.5,1714,2206,0.3,3.31,2,16.7,0.1
"Benin",2019,2687,3397.6,-0.42,29,NA,67,19,31.9,0.7,1.9,0.1,10,0.6,55.2,1.5,1715,2208,0.32,3.25,3,16.6,0.1
"Benin",2020,2726,3429.9,-0.44,18,NA,67,19,31.4,0.7,2,0.1,10.4,0.7,NA,NA,1717,2210,0.32,3.16,3,16.4,0.1
"Benin",2021,2775,3575.3,-0.4,24,NA,67,19,30.9,0.7,2.1,0.1,10.8,0.7,NA,NA,1718,2212,0.32,3.15,3,NA,NA
"Benin",2022,2788,3697.6,-0.35,39,NA,67,20,30.4,0.7,2.2,0.1,11.2,0.8,NA,NA,1720,2214,0.33,3.15,3,NA,NA
"Bermuda",2017,NA,95310.9,0.98,NA,NA,99,99,NA,NA,NA,NA,29.6,0.1,NA,NA,2131,2756,0.24,3.02,NA,NA,NA
"Bermuda",2018,NA,94831.5,1.13,NA,NA,99,99,NA,NA,NA,NA,30.2,0.1,NA,NA,2121,2745,0.24,3.02,NA,NA,NA
"Bermuda",2019,NA,95132.4,1.05,NA,NA,99,99,NA,NA,NA,NA,30.9,0.1,NA,NA,2093,2704,0.24,3.02,NA,NA,NA
"Bermuda",2020,NA,88652.3,1,NA,NA,99,99,NA,NA,NA,NA,31.6,0.1,NA,NA,2065,2672,0.24,3.02,NA,NA,NA
"Bermuda",2021,NA,91508.8,1,NA,NA,99,99,NA,NA,NA,NA,32.3,0.1,NA,NA,2042,2641,0.24,3.02,NA,NA,NA
"Bermuda",2022,NA,94531.3,1.03,NA,NA,99,99,NA,NA,NA,NA,33,0.1,NA,NA,2013,2607,0.24,3.02,NA,NA,NA
"Bhutan",2017,NA,13450.5,1.1,NA,57,99,73,25.6,0.1,7.3,0.1,9.4,0.1,38.6,0.1,1814,2353,0.21,3.02,49,11.5,0.1
"Bhutan",2018,NA,13812.4,1.08,NA,61,99,74,24.9,0.1,7.2,0.1,9.9,0.1,38.6,0.1,1821,2361,0.21,3.02,49,11.5,0.1
"Bhutan",2019,NA,14505.2,1.07,NA,65,99,75,24.3,0.1,7.1,0.1,10.4,0.1,38.6,0.1,1827,2369,0.21,2.96,50,11.5,0.1
"Bhutan",2020,NA,12937.9,1.01,NA,69,99,77,23.7,0.1,6.9,0.1,11,0.1,NA,NA,1833,2377,0.21,2.98,50,11.4,0.1
"Bhutan",2021,NA,13423.4,0.8,NA,73,99,78,23.2,0.1,6.7,0.1,11.6,0.1,NA,NA,1837,2381,0.21,2.95,51,NA,NA
"Bhutan",2022,NA,NA,0.86,NA,73,99,78,22.7,0.1,6.5,0.1,12.2,0.1,NA,NA,1841,2387,0.21,2.95,50,NA,NA
"Bolivia (Plurinational State of)",2017,2361,9566.1,-0.28,25,NA,92,60,14.7,0.2,8.7,0.1,24.4,1.7,25.1,0.7,1754,2263,0.24,2.95,NA,8,0.1
"Bolivia (Plurinational State of)",2018,2393,9823,-0.29,27,NA,92,62,13.8,0.2,8.7,0.1,25.2,1.8,24.6,0.7,1757,2267,0.24,2.93,NA,8,0.1
"Bolivia (Plurinational State of)",2019,2419,9895.4,-0.73,31,NA,93,64,13,0.2,8.8,0.1,26,1.9,24.4,0.7,1759,2270,0.24,2.93,NA,8,0.1
"Bolivia (Plurinational State of)",2020,2380,8910.6,-0.45,22,NA,93,66,12.3,0.2,8.8,0.1,26.9,2,NA,NA,1762,2273,0.24,2.97,NA,7.9,0.1
"Bolivia (Plurinational State of)",2021,2360,9343,-0.28,18,NA,94,68,11.6,0.1,8.9,0.1,27.8,2.1,NA,NA,1764,2277,0.29,2.97,NA,NA,NA
