"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Cuba",2022,3193,NA,0.5,33,NA,95,92,7,0.1,10.2,0.1,21.8,2,NA,NA,1890,2449,0.23,2.59,41,NA,NA
"Cyprus",2017,2972,42743.6,0.53,54,99,99,99,NA,NA,NA,NA,22.2,0.2,12.9,0.1,1953,2538,0.18,2.04,77,NA,NA
"Cyprus",2018,2980,44629.2,0.48,37,99,99,99,NA,NA,NA,NA,22.3,0.2,13.2,0.1,1954,2538,0.18,2.1,77,NA,NA
"Cyprus",2019,3043,46599,0.54,30,99,99,99,NA,NA,NA,NA,22.4,0.2,13.6,0.1,1952,2534,0.18,1.97,77,NA,NA
"Cyprus",2020,3035,44511.5,0.29,31,99,99,99,NA,NA,NA,NA,22.6,0.2,NA,NA,1951,2533,0.18,2,77,NA,NA
"Cyprus",2021,3043,48469.4,0.42,23,99,99,99,NA,NA,NA,NA,22.8,0.2,NA,NA,1950,2531,0.18,1.97,77,NA,NA
"Cyprus",2022,3043,50232.2,0.42,27,99,99,99,NA,NA,NA,NA,22.9,0.2,NA,NA,1950,2531,0.18,1.97,77,NA,NA
"Czechia",2017,3302,46137,0.99,72,98,99,99,2.5,0.1,5.7,0.1,23.8,2,20.8,0.5,1948,2528,0.2,1.73,88,7.5,0.1
"Czechia",2018,3305,47463.7,1.03,69,98,99,99,2.5,0.1,5.8,0.1,24.2,2.1,20.9,0.5,1947,2527,0.2,1.73,88,7.5,0.1
"Czechia",2019,3345,48709.6,0.94,58,98,99,99,2.5,0.1,5.9,0.1,24.6,2.1,21.1,0.5,1946,2526,0.2,1.67,89,7.6,0.1
"Czechia",2020,3359,45917.3,0.91,62,98,99,99,2.5,0.1,5.9,0.1,25.1,2.1,NA,NA,1945,2525,0.21,1.68,89,7.6,0.1
"Czechia",2021,3404,48418.1,0.95,15,98,99,99,2.5,0.1,6,0.1,25.5,2.2,NA,NA,1946,2526,0.21,1.64,89,NA,NA
"Czechia",2022,3429,48784,0.82,13,98,99,99,2.5,0.1,6.1,0.1,26,2.2,NA,NA,1947,2527,0.21,1.64,90,NA,NA
"Democratic People's Republic of Korea",2017,2065,NA,-0.5,12,67,94,83,20.5,0.3,2.1,0.1,8.5,1.7,33.2,2.2,1865,2415,0.26,3.09,NA,NA,NA
"Democratic People's Republic of Korea",2018,2004,NA,-0.34,16,66,94,84,19.8,0.3,2.2,0.1,8.9,1.7,33.5,2.2,1864,2414,0.26,3.11,NA,NA,NA
"Democratic People's Republic of Korea",2019,NA,NA,-0.29,19,66,94,85,19,0.3,2.3,0.1,9.4,1.8,33.9,2.2,1863,2412,0.26,3.01,NA,NA,NA
"Democratic People's Republic of Korea",2020,NA,NA,-0.38,30,66,94,85,18.2,0.3,2.5,0.1,9.8,2,NA,NA,1862,2411,0.26,3.05,NA,NA,NA
"Democratic People's Republic of Korea",2021,NA,NA,-0.48,31,66,94,85,17.5,0.3,2.6,0.1,10.3,2.1,NA,NA,1861,2410,0.26,3.15,NA,NA,NA
"Democratic People's Republic of Korea",2022,NA,NA,-0.41,32,66,94,85,16.8,0.3,2.8,0.1,10.8,2.2,NA,NA,1861,2408,0.26,3.15,NA,NA,NA
"Democratic Republic of the Congo",2017,2192,1294.8,-2.34,29,12,36,17,41.7,6.6,4,0.6,5.3,2.1,43,7.8,1653,2123,0.37,4.74,14,10.4,0.4
"Democratic Republic of the Congo",2018,2172,1326.1,-2.08,29,11,36,17,41.6,6.7,3.9,0.6,5.6,2.3,42.6,8,1653,2123,0.37,4.73,14,10.3,0.4
"Democratic Republic of the Congo",2019,2162,1340.8,-1.62,27,11,36,16,41.4,6.9,3.8,0.6,5.8,2.5,42.4,8.2,1653,2122,0.37,4.72,14,10.2,0.4
"Democratic Republic of the Congo",2020,2095,1320.8,-1.79,20,11,36,16,41.1,7.1,3.7,0.6,6.1,2.7,NA,NA,1653,2123,0.37,4.72,13,10.2,0.4
"Democratic Republic of the Congo",2021,2117,1358.2,-1.66,26,11,35,16,40.7,7.2,3.7,0.7,6.3,2.9,NA,NA,1653,2124,0.38,4.78,13,NA,NA
"Democratic Republic of the Congo",2022,2150,1432.9,-1.98,22,12,35,16,40.3,7.3,3.7,0.7,6.6,3.1,NA,NA,1654,2124,0.38,4.78,13,NA,NA
"Denmark",2017,3443,65783.5,0.85,19,99,99,99,NA,NA,NA,NA,12.8,0.6,12,0.2,1958,2548,0.2,1.97,98,4.9,0.1
"Denmark",2018,3574,66760.5,0.93,21,99,99,99,NA,NA,NA,NA,12.9,0.6,12.1,0.2,1958,2548,0.2,1.9,98,4.9,0.1
"Denmark",2019,3581,67515.3,0.97,48,99,99,99,NA,NA,NA,NA,13,0.6,12.2,0.2,1959,2550,0.2,1.8,99,4.8,0.1
"Denmark",2020,3596,65686.5,0.92,57,99,99,99,NA,NA,NA,NA,13.1,0.6,NA,NA,1958,2549,0.2,1.8,99,4.8,0.1
"Denmark",2021,3584,69878.9,0.93,56,99,99,99,NA,NA,NA,NA,13.2,0.6,NA,NA,1957,2549,0.21,1.83,99,NA,NA
"Denmark",2022,3588,71224.3,0.87,45,99,99,99,NA,NA,NA,NA,13.3,0.6,NA,NA,1957,2548,0.21,1.83,99,NA,NA
"Djibouti",2017,2755,5474.6,-0.73,37,NA,76,64,23.7,0.1,1.8,0.1,9,0.1,31.8,0.1,1835,2376,0.3,2.67,38,NA,NA
"Djibouti",2018,2788,5643.9,-0.13,30,NA,76,65,22.6,0.1,2,0.1,9.4,0.1,32,0.1,1837,2379,0.3,2.55,39,NA,NA
"Djibouti",2019,2793,5863.7,-0.34,22,NA,76,67,21.5,0.1,2.2,0.1,9.8,0.1,32.3,0.1,1840,2384,0.3,2.53,40,NA,NA
"Djibouti",2020,2802,5852.8,-0.45,22,NA,76,67,20.5,0.1,2.5,0.1,10.3,0.1,NA,NA,1843,2387,0.3,2.57,40,NA,NA
"Djibouti",2021,2802,6032.3,-0.57,7,NA,76,67,19.5,0.1,2.8,0.1,10.8,0.1,NA,NA,1844,2389,0.3,2.66,40,NA,NA
"Djibouti",2022,2766,6135.8,-0.51,8,NA,76,67,18.7,0.1,3.2,0.1,11.3,0.1,NA,NA,1846,2391,0.3,2.66,40,NA,NA
"Dominica",2017,2956,15285.2,1.17,20,NA,95,80,NA,NA,NA,NA,27.8,0.1,20.1,0.1,2019,2661,0.24,4.16,NA,NA,NA
"Dominica",2018,2930,15733.5,1.07,32,NA,NA,NA,NA,NA,NA,NA,28.5,0.1,20.4,0.1,2030,2677,0.24,4.08,NA,NA,NA
"Dominica",2019,2982,16458.7,1.03,48,NA,NA,NA,NA,NA,NA,NA,29.2,0.1,20.8,0.1,2049,2710,0.24,3.92,NA,NA,NA
"Dominica",2020,2954,13617.8,1.32,44,NA,NA,NA,NA,NA,NA,NA,29.9,0.1,NA,NA,2057,2724,0.28,4.13,NA,NA,NA
"Dominica",2021,2983,14472.3,1.33,29,NA,NA,NA,NA,NA,NA,NA,30.6,0.1,NA,NA,2078,2751,0.28,4.21,NA,NA,NA
"Dominica",2022,3144,15221.4,1.3,19,NA,NA,NA,NA,NA,NA,NA,31.3,0.1,NA,NA,2098,2775,0.28,4.21,NA,NA,NA
"Dominican Republic",2017,2938,19449.7,0.15,28,44,96,86,7,0.1,7.5,0.1,25.7,1.8,26.6,0.7,1847,2390,0.24,5.76,45,12.9,0.1
"Dominican Republic",2018,2999,20579.2,0.01,29,45,96,87,6.8,0.1,7.5,0.1,26.4,1.9,26.5,0.7,1848,2392,0.26,5.76,45,13,0.1
"Dominican Republic",2019,3050,21387.7,0,27,45,96,87,6.5,0.1,7.5,0.1,27.1,2,26.4,0.7,1849,2393,0.26,5.76,44,13.2,0.1
"Dominican Republic",2020,3100,19736.8,0.16,15,45,96,88,6.2,0.1,7.5,0.1,27.8,2.1,NA,NA,1851,2395,0.29,5.76,44,13.4,0.1
"Dominican Republic",2021,3149,21923.3,0.29,6,45,97,88,5.9,0.1,7.5,0.1,28.6,2.1,NA,NA,1853,2397,0.28,5.76,44,NA,NA
"Dominican Republic",2022,3228,22761.3,0.33,3,45,97,89,5.6,0.1,7.6,0.1,29.3,2.2,NA,NA,1854,2399,0.28,5.76,43,NA,NA
"Ecuador",2017,2559,14552.4,-0.08,55,66,94,88,23.1,0.4,9.8,0.1,23.5,2.6,17,0.7,1783,2304,0.24,2.52,42,10.7,0.1
"Ecuador",2018,2547,14463.9,-0.09,49,66,95,89,23.2,0.3,10.2,0.2,24.2,2.8,17.1,0.8,1787,2309,0.25,2.37,42,10.7,0.1
"Ecuador",2019,2508,14192,-0.24,54,67,95,90,23.2,0.3,10.6,0.2,25,2.9,17.2,0.8,1791,2314,0.25,2.48,42,10.7,0.1
"Ecuador",2020,2540,12904.6,-0.27,47,67,95,91,23.1,0.3,11,0.2,25.8,3.1,NA,NA,1794,2318,0.27,2.47,42,10.6,0.1
"Ecuador",2021,2562,13293.1,-0.26,20,67,96,92,22.8,0.3,11.5,0.2,26.6,3.2,NA,NA,1797,2322,0.27,2.5,42,NA,NA
"Ecuador",2022,2549,13530.4,-0.24,34,67,96,92,22.7,0.3,11.9,0.2,27.4,3.4,NA,NA,1799,2326,0.27,2.5,42,NA,NA
"Egypt",2017,3150,14280.9,-1.43,31,NA,99,97,21.9,2.8,16.6,2.2,41.1,25.6,28.8,7,1807,2333,0.32,3.35,65,NA,NA
"Egypt",2018,3119,14759.3,-1.19,18,NA,99,97,21.7,2.8,17,2.2,41.7,26.5,28.5,7,1808,2334,0.32,3.36,65,NA,NA
"Egypt",2019,3139,15301.8,-1.12,18,NA,99,97,21.4,2.7,17.3,2.2,42.4,27.4,28.3,7.1,1811,2337,0.32,3.26,66,NA,NA
"Egypt",2020,3152,15572.8,-1.18,19,NA,99,98,21.1,2.6,17.8,2.2,43,28.4,NA,NA,1814,2340,0.32,3.3,67,NA,NA
"Egypt",2021,3115,15820.7,-1.03,26,NA,99,98,20.7,2.6,18.2,2.3,43.6,29.4,NA,NA,1817,2345,0.33,3.26,67,NA,NA
"Egypt",2022,3117,16600.4,-1.03,23,NA,99,98,20.4,2.5,18.8,2.3,44.3,30.4,NA,NA,1820,2349,0.34,3.26,67,NA,NA
"El Salvador",2017,2727,10184,-0.26,14,NA,97,86,11.8,0.1,6.7,0.1,28.1,1.2,10.1,0.2,1776,2297,0.26,2.79,NA,10.3,0.1
"El Salvador",2018,2760,10414.4,-0.39,24,NA,97,86,11.4,0.1,6.7,0.1,28.6,1.2,10.4,0.2,1779,2301,0.26,2.74,NA,10.2,0.1
"El Salvador",2019,2822,10654,-0.12,31,NA,98,87,11,0.1,6.7,0.1,29.2,1.2,10.6,0.2,1782,2304,0.26,2.79,NA,10.2,0.1
"El Salvador",2020,2773,9801.9,-0.12,40,NA,98,87,10.7,0.1,6.7,0.1,29.8,1.3,NA,NA,1785,2308,0.27,2.87,NA,10.2,0.1
"El Salvador",2021,2803,10860.2,-0.09,33,NA,98,87,10.3,0.1,6.8,0.1,30.3,1.3,NA,NA,1788,2312,0.26,2.93,NA,NA,NA
"El Salvador",2022,2836,11103.5,-0.15,36,NA,99,88,10,0.1,6.8,0.1,30.9,1.4,NA,NA,1791,2316,0.28,2.93,NA,NA,NA
"Equatorial Guinea",2017,NA,23887.5,-0.17,NA,NA,65,66,19.9,0.1,8.2,0.1,15.5,0.1,45,0.1,1765,2274,0.11,3.02,NA,NA,NA
"Equatorial Guinea",2018,NA,21631.4,-0.09,NA,NA,NA,NA,19,0.1,8.2,0.1,15.9,0.1,44.7,0.1,1769,2279,0.11,3.02,NA,NA,NA
"Equatorial Guinea",2019,NA,19775,-0.15,NA,NA,NA,NA,18.1,0.1,8.2,0.1,16.3,0.1,44.5,0.1,1771,2283,0.11,3.02,NA,NA,NA
"Equatorial Guinea",2020,NA,18320.1,-0.22,NA,NA,NA,NA,17.3,0.1,8.2,0.1,16.7,0.2,NA,NA,1775,2289,0.11,3.02,NA,NA,NA
"Equatorial Guinea",2021,NA,17936.6,-0.2,NA,NA,NA,NA,16.6,0.1,8.2,0.1,17.2,0.2,NA,NA,1776,2290,0.11,3.02,NA,NA,NA
"Equatorial Guinea",2022,NA,18165.2,-0.07,NA,NA,NA,NA,16.1,0.1,8.2,0.1,17.7,0.2,NA,NA,1779,2295,0.11,3.02,NA,NA,NA
"Eritrea",2017,NA,NA,-0.73,NA,NA,NA,NA,52.4,0.3,2.4,0.1,3.6,0.1,36.6,0.3,1721,2218,0.26,1.51,NA,15.2,0.1
"Eritrea",2018,NA,NA,-0.61,NA,NA,NA,NA,52.1,0.3,2.5,0.1,3.8,0.1,36.8,0.3,1725,2224,0.26,1.51,NA,15.2,0.1
"Eritrea",2019,NA,NA,-0.71,NA,NA,NA,NA,51.8,0.2,2.6,0.1,4,0.1,37,0.3,1731,2233,0.26,1.51,NA,15.2,0.1
"Eritrea",2020,NA,NA,-0.99,NA,NA,NA,NA,51.3,0.2,2.8,0.1,4.3,0.1,NA,NA,1735,2238,0.26,1.51,NA,15.2,0.1
"Eritrea",2021,NA,NA,-1.06,NA,NA,NA,NA,50.8,0.2,2.9,0.1,4.5,0.1,NA,NA,1740,2246,0.26,1.51,NA,NA,NA
"Eritrea",2022,NA,NA,-0.97,NA,NA,NA,NA,50.2,0.2,3,0.1,4.8,0.1,NA,NA,1744,2253,0.26,1.51,NA,NA,NA
"Estonia",2017,3104,39351.2,0.64,44,97,99,99,1.3,0.1,5.1,0.1,21.6,0.2,21.3,0.1,1956,2538,0.21,2.02,90,4.2,0.1
"Estonia",2018,3200,40698.4,0.58,53,97,99,99,1.3,0.1,5.1,0.1,21.7,0.2,21.5,0.1,1955,2537,0.21,2,90,4.2,0.1
"Estonia",2019,3253,42063.8,0.63,45,97,99,99,1.3,0.1,5.1,0.1,21.8,0.2,21.7,0.1,1955,2538,0.21,1.74,90,4.2,0.1
"Estonia",2020,3247,41749.5,0.71,52,97,99,99,1.2,0.1,5.1,0.1,21.9,0.2,NA,NA,1955,2538,0.21,1.72,90,4.2,0.1
"Estonia",2021,3289,45047.3,0.75,57,97,99,99,1.2,0.1,5.1,0.1,22,0.2,NA,NA,1955,2539,0.21,1.7,90,NA,NA
"Estonia",2022,3315,43877,0.72,55,97,99,99,1.2,0.1,5.1,0.1,22.2,0.2,NA,NA,1956,2539,0.21,1.7,90,NA,NA
"Eswatini",2017,2432,9222.6,-0.27,56,NA,68,63,24.3,0.1,8.7,0.1,26.4,0.2,30.1,0.1,1779,2298,0.25,2.89,NA,10.4,0.1
"Eswatini",2018,2497,9368.5,-0.38,14,NA,69,64,23.6,0.1,8.5,0.1,27,0.2,30.4,0.1,1786,2308,0.25,2.8,NA,10.3,0.1
"Eswatini",2019,2487,9545.2,-0.27,25,NA,70,64,23.1,0.1,8.3,0.1,27.7,0.2,30.7,0.1,1792,2316,0.23,2.77,NA,10.3,0.1
"Eswatini",2020,2536,9308.4,-0.04,25,NA,71,64,22.4,0.1,8.1,0.1,28.5,0.2,NA,NA,1796,2322,0.23,2.87,NA,10.2,0.1
"Eswatini",2021,2550,10202.5,-0.35,24,NA,72,64,21.8,0.1,8,0.1,29.3,0.2,NA,NA,1799,2325,0.25,2.82,NA,NA,NA
"Eswatini",2022,2554,10170.9,-0.25,22,NA,74,64,21.2,0.1,7.9,0.1,30.1,0.2,NA,NA,1801,2328,0.26,2.82,NA,NA,NA
"Ethiopia",2017,2483,2253,-1.68,22,11,44,8,38.1,6.2,2.6,0.4,2,1.1,23,5.9,1725,2225,0.29,2.31,6,NA,NA
"Ethiopia",2018,2450,2343.1,-1.27,16,11,46,8,37.4,6.2,2.6,0.4,2.2,1.3,23.4,6.3,1728,2230,0.31,2.28,6,NA,NA
"Ethiopia",2019,2411,2472.5,-1.3,27,12,47,9,36.6,6.2,2.6,0.4,2.3,1.4,23.9,6.6,1731,2233,0.33,2.37,7,NA,NA
"Ethiopia",2020,2457,2553.6,-1.75,52,12,49,9,35.8,6.2,2.6,0.5,2.5,1.5,NA,NA,1733,2236,0.37,2.42,7,NA,NA
"Ethiopia",2021,2463,2628.3,-2.18,47,13,50,9,35.1,6.2,2.7,0.5,2.6,1.7,NA,NA,1735,2239,0.38,2.27,7,NA,NA
"Ethiopia",2022,2481,2698.6,-2.04,40,13,52,9,34.4,6.3,2.7,0.5,2.8,1.9,NA,NA,1737,2242,0.37,2.27,7,NA,NA
"Fiji",2017,2724,13086.8,0.59,38,41,95,93,7.4,0.1,7.3,0.1,30.8,0.2,31.7,0.1,1830,2368,0.24,2.52,49,7.4,0.1
"Fiji",2018,2781,13586.1,0.83,33,41,95,94,7.3,0.1,7.4,0.1,31.4,0.2,31.8,0.1,1831,2369,0.24,2.6,49,7.4,0.1
"Fiji",2019,2823,13515,0.78,33,42,95,94,7.2,0.1,7.4,0.1,32,0.2,32,0.1,1834,2374,0.24,2.56,49,7.4,0.1
"Fiji",2020,2861,11188.2,0.66,39,42,95,94,7.1,0.1,7.5,0.1,32.6,0.2,NA,NA,1835,2375,0.24,2.5,49,7.4,0.1
"Fiji",2021,2876,10593.9,0.72,47,42,96,93,7.1,0.1,7.5,0.1,33.2,0.2,NA,NA,1836,2376,0.28,2.62,49,NA,NA
"Fiji",2022,2895,12643.9,0.76,28,42,96,93,7.1,0.1,7.4,0.1,33.8,0.2,NA,NA,1836,2377,0.28,2.62,49,NA,NA
"Finland",2017,3265,56605.5,1.06,17,99,99,99,NA,NA,NA,NA,20.3,0.9,10.4,0.1,1959,2549,0.2,2.1,89,4.1,0.1
"Finland",2018,3314,57174.8,0.89,9,99,99,99,NA,NA,NA,NA,20.5,0.9,10.6,0.1,1960,2551,0.2,2.09,89,4.1,0.1
"Finland",2019,3339,57811.3,0.84,19,99,99,99,NA,NA,NA,NA,20.8,0.9,10.9,0.1,1962,2554,0.2,2.07,90,4.1,0.1
"Finland",2020,3358,56368.8,0.98,27,99,99,99,NA,NA,NA,NA,21,0.9,NA,NA,1964,2557,0.2,2.04,90,4.1,0.1
"Finland",2021,3319,57848.6,0.96,25,99,99,99,NA,NA,NA,NA,21.2,1,NA,NA,1966,2559,0.21,2.05,90,NA,NA
"Finland",2022,3335,58634.4,0.89,27,99,99,99,NA,NA,NA,NA,21.5,1,NA,NA,1967,2561,0.21,2.05,90,NA,NA
"France",2017,3514,53398.3,0.27,19,99,99,99,NA,NA,NA,NA,10.7,5.4,10,1.4,1921,2494,0.2,2.06,89,7.5,0.1
"France",2018,3505,54199.6,0.01,20,99,99,99,NA,NA,NA,NA,10.5,5.3,10.3,1.4,1921,2495,0.2,1.99,89,7.5,0.1
"France",2019,3535,55010.4,0.27,18,99,99,99,NA,NA,NA,NA,10.3,5.2,10.6,1.5,1922,2496,0.2,1.98,89,7.4,0.1
"France",2020,3578,50724.5,0.28,17,99,99,99,NA,NA,NA,NA,10.1,5.1,NA,NA,1923,2497,0.2,1.96,90,7.4,0.1
"France",2021,3604,53834.8,0.33,13,99,99,99,NA,NA,NA,NA,9.9,5,NA,NA,1924,2499,0.2,1.98,90,NA,NA
"France",2022,3620,54988.3,0.33,15,99,99,99,NA,NA,NA,NA,9.7,5,NA,NA,1924,2500,0.21,1.98,90,NA,NA
"French Polynesia",2017,2772,NA,NA,24,86,99,97,NA,NA,NA,NA,45.4,0.1,NA,NA,1884,2442,0.23,2.42,NA,NA,NA
"French Polynesia",2018,2763,NA,NA,29,85,99,97,NA,NA,NA,NA,46,0.1,NA,NA,1884,2442,0.23,2.42,NA,NA,NA
"French Polynesia",2019,2820,NA,NA,25,84,99,97,NA,NA,NA,NA,46.5,0.1,NA,NA,1883,2441,0.23,2.42,NA,NA,NA
"French Polynesia",2020,2863,NA,NA,28,84,99,97,NA,NA,NA,NA,47,0.1,NA,NA,1882,2440,0.23,2.36,NA,NA,NA
"French Polynesia",2021,2858,NA,NA,47,83,99,97,NA,NA,NA,NA,47.6,0.1,NA,NA,1882,2439,0.23,2.39,NA,NA,NA
"French Polynesia",2022,2848,NA,NA,54,82,99,97,NA,NA,NA,NA,48.1,0.1,NA,NA,1880,2438,0.23,2.39,NA,NA,NA
"Gabon",2017,2635,20479.8,-0.11,29,NA,85,49,15.2,0.1,5.9,0.1,18,0.2,53.2,0.3,1776,2292,0.32,4.99,NA,14.7,0.1
"Gabon",2018,2655,20163.4,-0.26,46,NA,86,50,14.9,0.1,5.8,0.1,18.6,0.2,52.8,0.3,1777,2292,0.32,4.97,NA,14.7,0.1
"Gabon",2019,2605,20479.6,-0.08,45,NA,86,50,14.6,0.1,5.7,0.1,19.1,0.2,52.4,0.3,1779,2294,0.33,4.85,NA,14.7,0.1
"Gabon",2020,2616,19666.6,-0.07,44,NA,86,50,14.2,0.1,5.6,0.1,19.7,0.3,NA,NA,1780,2296,0.35,4.93,NA,14.6,0.1
"Gabon",2021,2595,19552.4,-0.08,19,NA,87,50,13.8,0.1,5.5,0.1,20.4,0.3,NA,NA,1783,2300,0.33,4.88,NA,NA,NA
"Gabon",2022,2649,19718.3,0.07,15,NA,87,50,13.4,0.1,5.4,0.1,21,0.3,NA,NA,1785,2303,0.35,4.88,NA,NA,NA
"Gambia",2017,2527,2502.5,-0.09,43,45,83,47,18,0.1,1.9,0.1,11.8,0.1,51.7,0.3,1737,2236,0.28,2.34,31,13.5,0.1
"Gambia",2018,2442,2613.6,-0.09,23,45,83,47,17,0.1,1.9,0.1,12.4,0.1,50.6,0.3,1742,2243,0.28,2.29,30,13.4,0.1
"Gambia",2019,2475,2705.4,0.21,25,46,84,47,15.7,0.1,1.9,0.1,13,0.2,49.5,0.3,1746,2249,0.28,2.28,30,13.3,0.1
"Gambia",2020,2454,2652.6,0.25,27,46,84,47,15,0.1,1.9,0.1,13.6,0.2,NA,NA,1751,2256,0.3,2.25,29,13.2,0.1
"Gambia",2021,2433,2696.7,0.04,30,47,85,48,14.3,0.1,1.8,0.1,14.3,0.2,NA,NA,1756,2263,0.3,2.25,29,NA,NA
"Gambia",2022,2362,2744.8,0.05,38,48,86,48,13.6,0.1,1.8,0.1,14.9,0.2,NA,NA,1760,2269,0.3,2.25,28,NA,NA
"Georgia",2017,2862,16401.7,-0.38,56,68,94,87,6.4,0.1,7.7,0.1,31,0.9,26.9,0.2,1897,2456,0.25,1.93,28,7.2,0.1
"Georgia",2018,2978,17202.7,-0.45,46,68,94,87,6,0.1,6.9,0.1,31.7,0.9,27.2,0.2,1895,2453,0.25,1.92,27,7.3,0.1
"Georgia",2019,3057,18090.8,-0.5,51,68,94,86,5.6,0.1,6.2,0.1,32.5,0.9,27.5,0.2,1893,2450,0.25,1.89,26,7.3,0.1
"Georgia",2020,3045,16856.2,-0.43,65,69,95,86,5.3,0.1,5.7,0.1,33.2,0.9,NA,NA,1893,2450,0.29,2.06,25,7.4,0.1
"Georgia",2021,3054,18691.2,-0.43,65,69,95,86,5,0.1,5.3,0.1,33.9,1,NA,NA,1893,2450,0.26,1.97,25,NA,NA
"Georgia",2022,3088,20612.2,-0.44,57,69,95,86,4.8,0.1,5,0.1,34.7,1,NA,NA,1893,2450,0.25,1.97,24,NA,NA
"Germany",2017,3568,61563.6,0.57,13,99,99,99,1.8,0.1,3.2,0.1,20.4,14.1,10.9,1.9,1958,2546,0.2,1.8,97,6.8,0.1
"Germany",2018,3607,61981.1,0.58,13,99,99,99,1.9,0.1,3.2,0.1,20.4,14.1,11.3,1.9,1955,2543,0.2,1.79,97,6.7,0.1
"Germany",2019,3635,62506.6,0.55,17,99,99,99,2,0.1,3.1,0.1,20.4,14.1,11.7,2,1953,2540,0.2,1.75,97,6.7,0.1
"Germany",2020,3642,60065.5,0.64,22,99,99,99,2,0.1,3.1,0.1,20.4,14.2,NA,NA,1951,2537,0.2,1.75,97,6.7,0.1
"Germany",2021,3634,61939.7,0.73,26,99,99,99,2.1,0.1,3.1,0.1,20.4,14.2,NA,NA,1949,2534,0.21,1.73,97,NA,NA
"Germany",2022,3657,62605.5,0.61,24,99,99,99,2.1,0.1,3.1,0.1,20.4,14.2,NA,NA,1947,2531,0.21,1.73,97,NA,NA
"Ghana",2017,2868,5951.2,0.08,79,37,83,23,16.8,0.7,2.1,0.1,11.4,1.9,37.8,2.7,1769,2281,0.29,5.16,13,14.6,0.1
"Ghana",2018,2951,6187.4,-0.04,61,39,84,24,15.9,0.7,2.1,0.1,11.7,2,36.6,2.7,1772,2285,0.3,5.24,14,14.5,0.1
"Ghana",2019,3011,6453.9,0.12,57,40,85,25,15,0.6,2,0.1,12,2.1,35.4,2.7,1775,2289,0.3,5.03,14,14.5,0.1
"Ghana",2020,3042,6354.4,0.17,71,42,86,26,14.2,0.6,2,0.1,12.3,2.2,NA,NA,1778,2293,0.3,4.97,15,14.4,0.1
"Ghana",2021,3114,6544.2,0.07,77,44,87,27,13.4,0.6,1.9,0.1,12.6,2.3,NA,NA,1781,2298,0.29,4.87,15,NA,NA
"Ghana",2022,3103,6616.1,-0.07,58,44,88,29,12.7,0.6,1.9,0.1,12.9,2.5,NA,NA,1785,2302,0.31,4.87,16,NA,NA
"Greece",2017,3391,31874.9,-0.08,51,99,99,99,2.1,0.1,15.8,0.1,26.2,2.3,14.3,0.3,1940,2519,0.21,2.03,89,11.3,0.1
"Greece",2018,3393,32472.5,0.15,47,99,99,99,2.2,0.1,15.6,0.1,26.5,2.3,14.7,0.3,1940,2519,0.21,2.09,90,11.3,0.1
"Greece",2019,3421,33117.7,0.16,26,99,99,99,2.2,0.1,15.4,0.1,26.9,2.3,15.1,0.3,1939,2520,0.21,2.09,91,11.4,0.1
"Greece",2020,3378,30096.8,0.12,35,99,99,99,2.2,0.1,15.2,0.1,27.2,2.4,NA,NA,1939,2520,0.21,2.08,91,11.4,0.1
"Greece",2021,3350,33018.3,0.1,35,99,99,99,2.2,0.1,14.9,0.1,27.6,2.4,NA,NA,1940,2521,0.21,2.04,92,NA,NA
"Greece",2022,3389,35328.8,0.06,23,99,99,99,2.2,0.1,14.6,0.1,28,2.4,NA,NA,1940,2522,0.21,2.04,92,NA,NA
"Greenland",2017,NA,65396.7,1.93,NA,NA,99,62,NA,NA,NA,NA,25,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Greenland",2018,NA,65979.2,1.94,NA,NA,99,62,NA,NA,NA,NA,25.4,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Greenland",2019,NA,67604.1,1.89,NA,NA,99,62,NA,NA,NA,NA,25.8,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Greenland",2020,NA,67560.3,1.91,NA,NA,99,62,NA,NA,NA,NA,26.2,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Greenland",2021,NA,68086.5,1.88,NA,NA,99,62,NA,NA,NA,NA,26.6,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Greenland",2022,NA,NA,1.57,NA,NA,99,62,NA,NA,NA,NA,27,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
