"country","unit","year","total population - both sexes (1000 no)","total population - male (1000 no)","total population - female (1000 no)","rural population (1000 no)","urban population (1000 no)"
"Afghanistan","1000 No",2017,35688.935,18038.999,17649.936,26558.609,8971.472
"Afghanistan","1000 No",2018,36743.039,18564.622,18178.417,27099.874,9273.302
"Afghanistan","1000 No",2019,37856.121,19119.647,18736.474,27626.382,9582.625
"Afghanistan","1000 No",2020,39068.979,19725.45,19343.528,28150.604,9904.337
"Afghanistan","1000 No",2021,40000.412,20186.456,19813.956,28674.023,10239.684
"Afghanistan","1000 No",2022,40578.842,20475.675,20103.167,29191.512,10587.583
"Albania","1000 No",2017,2898.242,1434.442,1463.801,1190.155,1740.032
"Albania","1000 No",2018,2894.231,1432.571,1461.66,1164.388,1769.975
"Albania","1000 No",2019,2885.01,1428.169,1456.841,1139.266,1799.162
"Albania","1000 No",2020,2871.954,1421.407,1450.547,1114.672,1827.362
"Albania","1000 No",2021,2849.635,1409.655,1439.981,1090.487,1854.317
"Albania","1000 No",2022,2827.608,1398.267,1429.341,1066.667,1879.873
"Algeria","1000 No",2017,41689.299,21316.232,20373.068,11547.532,29770.61
"Algeria","1000 No",2018,42505.035,21724.796,20780.238,11498.038,30510.016
"Algeria","1000 No",2019,43294.546,22118.792,21175.753,11442.587,31236.431
"Algeria","1000 No",2020,44042.091,22490.324,21551.767,11382.345,31950.91
"Algeria","1000 No",2021,44761.099,22848.428,21912.671,11317.455,32651.848
"Algeria","1000 No",2022,45477.389,23206.875,22270.515,11247.753,33336.714
"American Samoa","1000 No",2017,51.586,26.18,25.406,7.139,48.502
"American Samoa","1000 No",2018,50.908,25.811,25.098,7.153,48.526
"American Samoa","1000 No",2019,50.209,25.422,24.788,7.162,48.565
"American Samoa","1000 No",2020,49.761,25.17,24.591,7.169,48.63
"American Samoa","1000 No",2021,49.225,24.888,24.337,7.172,48.727
"American Samoa","1000 No",2022,48.342,24.43,23.912,7.172,48.843
"Andorra","1000 No",2017,73.763,37.398,36.364,9.12,67.845
"Andorra","1000 No",2018,75.162,38.203,36.959,9.187,67.766
"Andorra","1000 No",2019,76.474,38.914,37.559,9.261,67.811
"Andorra","1000 No",2020,77.38,39.386,37.994,9.327,67.857
"Andorra","1000 No",2021,78.364,40.011,38.353,9.383,67.893
"Andorra","1000 No",2022,79.705,40.793,38.912,9.434,67.958
"Angola","1000 No",2017,30234.839,14938.928,15295.91,10472.554,19311.639
"Angola","1000 No",2018,31297.155,15467.791,15829.363,10612.667,20161.538
"Angola","1000 No",2019,32375.632,16004.756,16370.877,10751.626,21035.94
"Angola","1000 No",2020,33451.132,16539.639,16911.494,10890.448,21936.953
"Angola","1000 No",2021,34532.429,17077.372,17455.057,11029.326,22865.158
"Angola","1000 No",2022,35635.029,17626.416,18008.612,11168.041,23820.261
"Anguilla","1000 No",2017,14.425,7.059,7.365,0,14.909
"Anguilla","1000 No",2018,14.721,7.21,7.511,0,15.045
"Anguilla","1000 No",2019,14.823,7.256,7.567,0,15.174
"Anguilla","1000 No",2020,14.843,7.257,7.586,0,15.283
"Anguilla","1000 No",2021,14.475,7.053,7.421,0,15.38
"Anguilla","1000 No",2022,14.18,6.89,7.29,0,15.456
"Antigua and Barbuda","1000 No",2017,90.468,42.969,47.498,76.802,25.21
"Antigua and Barbuda","1000 No",2018,90.926,43.2,47.726,77.7,25.35
"Antigua and Barbuda","1000 No",2019,91.364,43.424,47.94,78.577,25.507
"Antigua and Barbuda","1000 No",2020,91.846,43.667,48.178,79.428,25.682
"Antigua and Barbuda","1000 No",2021,92.349,43.919,48.429,80.252,25.873
"Antigua and Barbuda","1000 No",2022,92.84,44.17,48.67,81.058,26.086
"Argentina","1000 No",2017,44288.894,21953.153,22335.741,3652.804,40618.237
"Argentina","1000 No",2018,44654.882,22142.786,22512.096,3632.997,41055.867
"Argentina","1000 No",2019,44973.465,22307.714,22665.752,3612.215,41489.566
"Argentina","1000 No",2020,45191.964,22419.484,22772.48,3590.542,41919.857
"Argentina","1000 No",2021,45312.281,22478.115,22834.166,3567.989,42346.437
"Argentina","1000 No",2022,45407.904,22527.129,22880.775,3544.546,42768.727
"Armenia","1000 No",2017,2914.963,1342.648,1572.315,1081.248,1849.202
"Armenia","1000 No",2018,2909.965,1341.812,1568.153,1081.275,1852.877
"Armenia","1000 No",2019,2903.972,1341.086,1562.886,1080.164,1856.542
"Armenia","1000 No",2020,2890.892,1336.435,1554.457,1078.125,1860.554
"Armenia","1000 No",2021,2870.349,1327.816,1542.533,1075.114,1864.83
"Armenia","1000 No",2022,2880.874,1333.939,1546.936,1070.987,1869.102
"Aruba","1000 No",2017,105.731,50.038,55.692,59.692,45.572
"Aruba","1000 No",2018,106.432,50.309,56.123,59.798,45.872
"Aruba","1000 No",2019,107.076,50.544,56.532,59.871,46.182
"Aruba","1000 No",2020,107.4,50.645,56.755,59.927,46.511
"Aruba","1000 No",2021,107.558,50.733,56.825,59.949,46.848
"Aruba","1000 No",2022,107.782,50.881,56.901,59.947,47.2
"Australia","1000 No",2017,24731.038,12270.986,12460.053,3446.638,21003.923
"Australia","1000 No",2018,25119.706,12465.559,12654.146,3465.207,21307.04
"Australia","1000 No",2019,25482.714,12645.913,12836.801,3481.222,21607.414
"Australia","1000 No",2020,25743.791,12773.754,12970.037,3494.472,21903.705
"Australia","1000 No",2021,25956.418,12879.362,13077.055,3504.916,22195.539
"Australia","1000 No",2022,26200.984,13000.471,13200.513,3512.683,22483.604
"Austria","1000 No",2017,8798.778,4326.092,4472.685,3660.707,5074.746
"Austria","1000 No",2018,8841.65,4348.396,4493.255,3649.748,5102.072
"Austria","1000 No",2019,8880.876,4368.489,4512.387,3636.627,5129.574
"Austria","1000 No",2020,8921.405,4389.081,4532.324,3622.85,5159.36
"Austria","1000 No",2021,8967.057,4411.996,4555.06,3608.752,5191.931
"Austria","1000 No",2022,9064.677,4460.698,4603.98,3593.85,5226.617
"Azerbaijan","1000 No",2017,9968.51,4854.09,5114.419,4388.663,5438.926
"Azerbaijan","1000 No",2018,10039.784,4900.965,5138.82,4398.268,5525.646
"Azerbaijan","1000 No",2019,10110.475,4942.714,5167.761,4403.28,5611.295
"Azerbaijan","1000 No",2020,10181.73,4980.263,5201.467,4403.813,5695.93
"Azerbaijan","1000 No",2021,10234.371,5008.445,5225.926,4399.795,5779.351
"Azerbaijan","1000 No",2022,10295.304,5041.776,5253.528,4391.189,5861.375
"Bahamas","1000 No",2017,390.485,187.983,202.502,67.508,327.853
"Bahamas","1000 No",2018,392.717,188.788,203.929,67.779,331.506
"Bahamas","1000 No",2019,394.675,189.495,205.179,67.996,335.099
"Bahamas","1000 No",2020,395.863,189.876,205.987,68.165,338.674
"Bahamas","1000 No",2021,396.373,189.918,206.454,68.295,342.261
"Bahamas","1000 No",2022,397.538,190.243,207.296,68.381,345.844
"Bahrain","1000 No",2017,1481.995,934.355,547.64,161.409,1331.175
"Bahrain","1000 No",2018,1497.626,941.36,556.265,167.867,1399.126
"Bahrain","1000 No",2019,1485.67,928.286,557.385,173.716,1464.18
"Bahrain","1000 No",2020,1483.077,924.113,558.964,178.17,1519.595
"Bahrain","1000 No",2021,1501.764,931.101,570.663,181.021,1563.274
"Bahrain","1000 No",2022,1533.459,950.328,583.13,182.577,1597.511
"Bangladesh","1000 No",2017,162186.147,79723.871,82462.276,105622.933,59046.818
"Bangladesh","1000 No",2018,163523.103,80431.108,83091.996,105423.904,60944.245
"Bangladesh","1000 No",2019,164913.055,81162.19,83750.865,105200.1,62865.82
"Bangladesh","1000 No",2020,166298.024,81878.88,84419.144,104960.356,64814.953
"Bangladesh","1000 No",2021,167658.855,82572.34,85086.514,104707.739,66791.896
"Bangladesh","1000 No",2022,169384.897,83399.395,85985.503,104437.419,68791.79
"Barbados","1000 No",2017,280.171,134.231,145.94,196.693,89.026
"Barbados","1000 No",2018,280.711,134.537,146.173,197.187,89.201
"Barbados","1000 No",2019,281.207,134.819,146.388,197.584,89.426
"Barbados","1000 No",2020,281.698,135.102,146.595,197.873,89.695
"Barbados","1000 No",2021,282.147,135.357,146.79,198.059,90.012
"Barbados","1000 No",2022,282.318,135.411,146.906,198.149,90.38
"Belarus","1000 No",2017,9495.79,4423.272,5072.517,2070.383,7397.955
"Belarus","1000 No",2018,9480.031,4417.818,5062.213,2023.242,7428.871
"Belarus","1000 No",2019,9435.419,4398.714,5036.706,1976.92,7456.954
"Belarus","1000 No",2020,9350.944,4358.798,4992.146,1931.795,7483.636
"Belarus","1000 No",2021,9251.365,4310.859,4940.507,1887.9,7509.15
"Belarus","1000 No",2022,9173.237,4274.359,4898.877,1845.056,7532.874
"Belgium","1000 No",2017,11376.581,5602.466,5774.114,233.097,11196.239
"Belgium","1000 No",2018,11428.605,5630.355,5798.251,229.844,11268.675
"Belgium","1000 No",2019,11490.618,5663.949,5826.669,226.556,11336.228
"Belgium","1000 No",2020,11540.107,5691.736,5848.37,223.197,11396.775
"Belgium","1000 No",2021,11570.844,5705.524,5865.32,219.756,11449.399
"Belgium","1000 No",2022,11641.82,5737.608,5904.212,216.26,11495.076
"Belgium-Luxembourg","1000 No",2017,NA,NA,NA,NA,NA
"Belgium-Luxembourg","1000 No",2018,NA,NA,NA,NA,NA
"Belgium-Luxembourg","1000 No",2019,NA,NA,NA,NA,NA
"Belgium-Luxembourg","1000 No",2020,NA,NA,NA,NA,NA
"Belgium-Luxembourg","1000 No",2021,NA,NA,NA,NA,NA
"Belgium-Luxembourg","1000 No",2022,NA,NA,NA,NA,NA
"Belize","1000 No",2017,373.202,188.209,184.992,203.824,170.857
"Belize","1000 No",2018,380.226,191.766,188.461,207.573,174.871
"Belize","1000 No",2019,385.829,194.424,191.404,211.248,178.983
"Belize","1000 No",2020,390.812,196.763,194.048,214.825,183.182
"Belize","1000 No",2021,395.346,198.903,196.444,218.296,187.469
"Belize","1000 No",2022,402.733,202.913,199.82,221.658,191.851
"Benin","1000 No",2017,12039.78,6022.609,6017.172,5949.046,5226.646
"Benin","1000 No",2018,12383.347,6197.56,6185.787,6051.546,5434.128
"Benin","1000 No",2019,12726.755,6372.298,6354.457,6153.211,5648.384
"Benin","1000 No",2020,13070.169,6546.526,6523.643,6253.682,5869.303
"Benin","1000 No",2021,13413.417,6720.676,6692.742,6352.738,6096.875
"Benin","1000 No",2022,13759.501,6896.458,6863.042,6450.295,6331.216
"Bermuda","1000 No",2017,63.578,31.495,32.084,0,61.349
"Bermuda","1000 No",2018,63.831,31.543,32.288,0,61.07
"Bermuda","1000 No",2019,64.107,31.604,32.503,0,60.833
"Bermuda","1000 No",2020,64.382,31.671,32.711,0,60.639
"Bermuda","1000 No",2021,64.648,31.732,32.916,0,60.472
"Bermuda","1000 No",2022,64.749,31.733,33.016,0,60.354
"Bhutan","1000 No",2017,754.335,406.098,348.237,483.217,324.393
"Bhutan","1000 No",2018,759.759,408.57,351.188,482.916,334.138
"Bhutan","1000 No",2019,764.824,410.863,353.962,482.419,343.81
"Bhutan","1000 No",2020,770.006,413.208,356.798,481.8,353.445
"Bhutan","1000 No",2021,775.442,415.688,359.754,481.101,363.051
"Bhutan","1000 No",2022,780.914,418.19,362.724,480.308,372.601
"Bolivia (Plurinational State of)","1000 No",2017,11344.587,5713.458,5631.129,3417.155,7634.445
"Bolivia (Plurinational State of)","1000 No",2018,11508.368,5793.932,5714.436,3429.186,7786.488
"Bolivia (Plurinational State of)","1000 No",2019,11671.386,5873.939,5797.447,3439.82,7940.041
"Bolivia (Plurinational State of)","1000 No",2020,11816.299,5940.065,5876.234,3449.008,8094.974
"Bolivia (Plurinational State of)","1000 No",2021,11937.36,5989.944,5947.416,3456.718,8251.182
"Bolivia (Plurinational State of)","1000 No",2022,12077.154,6053.751,6023.404,3462.941,8408.607
"Bonaire, Sint Eustatius and Saba","1000 No",2017,24.797,12.773,12.024,6.391,19.007
"Bonaire, Sint Eustatius and Saba","1000 No",2018,25.154,12.957,12.197,6.452,19.25
"Bonaire, Sint Eustatius and Saba","1000 No",2019,25.625,13.237,12.388,6.502,19.469
"Bonaire, Sint Eustatius and Saba","1000 No",2020,26.453,13.668,12.786,6.54,19.672
"Bonaire, Sint Eustatius and Saba","1000 No",2021,27.323,14.088,13.235,6.571,19.862
"Bonaire, Sint Eustatius and Saba","1000 No",2022,28.627,14.774,13.853,6.592,20.039
"Bosnia and Herzegovina","1000 No",2017,3428.682,1630.145,1798.538,1828.006,1679.011
"Bosnia and Herzegovina","1000 No",2018,3387,1610.395,1776.605,1813.259,1690.295
"Bosnia and Herzegovina","1000 No",2019,3345.533,1590.487,1755.046,1798.985,1702.789
"Bosnia and Herzegovina","1000 No",2020,3299.349,1568.697,1730.652,1783.4,1714.81
"Bosnia and Herzegovina","1000 No",2021,3244.907,1543.349,1701.559,1766.129,1725.939
"Bosnia and Herzegovina","1000 No",2022,3204.802,1524.174,1680.628,1747.673,1736.599
"Botswana","1000 No",2017,2266.747,1128.743,1138.005,717.29,1574.371
"Botswana","1000 No",2018,2299.141,1145.953,1153.188,712.875,1620.326
"Botswana","1000 No",2019,2332.083,1163.271,1168.812,708.307,1666.329
"Botswana","1000 No",2020,2365.894,1180.817,1185.076,703.554,1712.212
"Botswana","1000 No",2021,2401.441,1199.123,1202.317,698.606,1757.85
"Botswana","1000 No",2022,2439.892,1217.995,1221.897,693.476,1803.179
"Brazil","1000 No",2017,204703.445,101001.719,103701.727,28654.406,180633.872
"Brazil","1000 No",2018,206107.261,101654.523,104452.738,28321.495,182546.459
"Brazil","1000 No",2019,207455.459,102280.732,105174.727,27985.169,184407.548
"Brazil","1000 No",2020,208660.842,102844.473,105816.37,27645.976,186217.07
"Brazil","1000 No",2021,209550.294,103236.465,106313.829,27304.243,187973.657
"Brazil","1000 No",2022,210306.415,103548.935,106757.48,26960.248,189675.703
"British Virgin Islands","1000 No",2017,32.699,15.665,17.034,16.429,14.767
"British Virgin Islands","1000 No",2018,34.657,16.459,18.198,16.582,15.137
"British Virgin Islands","1000 No",2019,36.395,17.16,19.235,16.71,15.496
"British Virgin Islands","1000 No",2020,37.135,17.459,19.676,16.802,15.832
"British Virgin Islands","1000 No",2021,37.809,17.731,20.078,16.859,16.147
"British Virgin Islands","1000 No",2022,38.319,18.003,20.317,16.884,16.438
"Brunei Darussalam","1000 No",2017,432.772,229.71,203.062,97.263,331.434
"Brunei Darussalam","1000 No",2018,437.81,232.595,205.214,97.106,336.97
"Brunei Darussalam","1000 No",2019,442.68,235.393,207.287,96.908,342.428
"Brunei Darussalam","1000 No",2020,447.404,238.103,209.3,96.681,347.838
"Brunei Darussalam","1000 No",2021,451.721,240.4,211.32,96.423,353.19
"Brunei Darussalam","1000 No",2022,455.37,242.166,213.203,96.129,358.463
"Bulgaria","1000 No",2017,7075.636,3436.048,3639.588,1794.614,5289.957
"Bulgaria","1000 No",2018,7024.745,3408.915,3615.831,1758.643,5278.205
"Bulgaria","1000 No",2019,6975.469,3382.539,3592.93,1722.907,5265.832
"Bulgaria","1000 No",2020,6933.652,3359.488,3574.164,1687.49,5253.037
"Bulgaria","1000 No",2021,6877.225,3330.246,3546.979,1652.403,5239.807
"Bulgaria","1000 No",2022,6825.864,3304.459,3521.405,1617.607,5225.976
"Burkina Faso","1000 No",2017,19894.407,9897.12,9997.287,13676.652,5516.73
"Burkina Faso","1000 No",2018,20438.288,10170.922,10267.367,13952.881,5798.77
"Burkina Faso","1000 No",2019,20961.952,10433.333,10528.62,14229.173,6092.387
"Burkina Faso","1000 No",2020,21478.69,10693.067,10785.622,14505.434,6397.911
"Burkina Faso","1000 No",2021,21995.243,10953.636,11041.608,14781.376,6715.585
"Burkina Faso","1000 No",2022,22509.038,11211.359,11297.68,15056.707,7045.635
"Burundi","1000 No",2017,11506.762,5709.445,5797.317,9483.827,1380.418
"Burundi","1000 No",2018,11859.446,5886.059,5973.387,9754.746,1461.704
"Burundi","1000 No",2019,12255.336,6084.18,6171.157,10028.767,1547.197
"Burundi","1000 No",2020,12617.036,6264.949,6352.087,10302.641,1636.586
"Burundi","1000 No",2021,12965.481,6438.864,6526.617,10575.557,1729.9
"Burundi","1000 No",2022,13321.097,6616.267,6704.83,10848.076,1827.394
"Cabo Verde","1000 No",2017,512.893,260.041,252.851,189.808,356.58
"Cabo Verde","1000 No",2018,513.415,260.565,252.85,189.62,363.715
"Cabo Verde","1000 No",2019,514.104,261.208,252.896,189.426,370.923
"Cabo Verde","1000 No",2020,514.679,261.788,252.892,189.2,378.148
"Cabo Verde","1000 No",2021,516.649,262.888,253.761,188.937,385.375
"Cabo Verde","1000 No",2022,519.741,264.411,255.331,188.641,392.606
"Cambodia","1000 No",2017,16073.372,7854.501,8218.871,12327.338,3678.035
"Cambodia","1000 No",2018,16274.522,7954.395,8320.127,12446.208,3799.521
"Cambodia","1000 No",2019,16481.304,8057.385,8423.919,12558.947,3923.699
"Cambodia","1000 No",2020,16725.474,8180.637,8544.836,12665.049,4050.459
"Cambodia","1000 No",2021,16974.305,8306.91,8667.396,12764.03,4179.681
"Cambodia","1000 No",2022,17201.724,8421.853,8779.871,12855.638,4311.303
"Cameroon","1000 No",2017,24128.601,12026.768,12101.833,10637.19,13416.537
"Cameroon","1000 No",2018,24806.383,12364.936,12441.447,10766.102,13912.132
"Cameroon","1000 No",2019,25506.095,12713.836,12792.259,10892.584,14420.409
"Cameroon","1000 No",2020,26210.558,13064.54,13146.019,11016.661,14941.523
"Cameroon","1000 No",2021,26915.758,13415.332,13500.427,11138.276,15475.489
"Cameroon","1000 No",2022,27632.771,13772.296,13860.476,11257.346,16022.262
"Canada","1000 No",2017,36808.497,18263.59,18544.907,6830.253,29793.946
"Canada","1000 No",2018,37295.005,18514.929,18780.076,6869.269,30084.496
"Canada","1000 No",2019,37782.935,18766.224,19016.711,6903.53,30376.281
"Canada","1000 No",2020,38171.902,18964.448,19207.454,6933.141,30670.064
"Canada","1000 No",2021,38454.057,19105.377,19348.679,6958.095,30966.067
"Canada","1000 No",2022,38821.259,19282.356,19538.904,6978.269,31263.957
"Cayman Islands","1000 No",2017,64.535,32.284,32.252,0,61.559
"Cayman Islands","1000 No",2018,65.941,33.041,32.9,0,62.348
"Cayman Islands","1000 No",2019,67.327,33.786,33.541,0,63.129
"Cayman Islands","1000 No",2020,68.684,34.514,34.171,0,63.89
"Cayman Islands","1000 No",2021,70.108,35.242,34.865,0,64.643
"Cayman Islands","1000 No",2022,71.591,35.969,35.622,0,65.393
"Central African Republic","1000 No",2017,4793.511,2346.526,2446.985,2749.797,1909.283
"Central African Republic","1000 No",2018,4878.657,2386.43,2492.227,2777.836,1959.587
"Central African Republic","1000 No",2019,4944.703,2411.803,2532.901,2810.003,2015.708
"Central African Republic","1000 No",2020,5026.628,2444.831,2581.798,2844.355,2076.534
"Central African Republic","1000 No",2021,5112.1,2483.247,2628.854,2880.682,2142.171
"Central African Republic","1000 No",2022,5098.039,2456.263,2641.776,2919.21,2213.06
"Chad","1000 No",2017,15622.759,7835.854,7786.905,11494.121,3405.873
"Chad","1000 No",2018,16156.531,8105.064,8051.467,11812.905,3540.279
"Chad","1000 No",2019,16685.223,8371.317,8313.906,12132.857,3681.488
"Chad","1000 No",2020,17224.679,8642.229,8582.45,12454.833,3830.26
"Chad","1000 No",2021,17828.273,8944.699,8883.575,12778.64,3987.074
"Chad","1000 No",2022,18455.316,9258.737,9196.578,13103.337,4152.209
"Channel Islands","1000 No",2017,NA,NA,NA,114.209,51.105
"Channel Islands","1000 No",2018,NA,NA,NA,114.74,51.343
"Channel Islands","1000 No",2019,NA,NA,NA,115.227,51.601
"Channel Islands","1000 No",2020,NA,NA,NA,115.69,51.888
"Channel Islands","1000 No",2021,NA,NA,NA,116.109,52.195
"Channel Islands","1000 No",2022,NA,NA,NA,116.49,52.525
"Chile","1000 No",2017,18558.868,9230.995,9327.872,2258.558,15796.168
"Chile","1000 No",2018,18893.191,9397.629,9495.561,2262.995,15934.214
"Chile","1000 No",2019,19197.744,9549.157,9648.586,2265.846,16070.807
"Chile","1000 No",2020,19370.624,9633.238,9737.386,2267.065,16205.574
"Chile","1000 No",2021,19456.334,9672.367,9783.967,2266.63,16338.316
"Chile","1000 No",2022,19553.036,9717.972,9835.065,2264.557,16469.065
"China","1000 No",2017,1444079.121,737730.664,706348.457,597816.52,843314.783
"China","1000 No",2018,1450798.227,740879.243,709918.983,583199.631,863601.691
"China","1000 No",2019,1455351.282,742942.8,712408.482,568748.198,883204.937
"China","1000 No",2020,1457942.854,743901.142,714041.712,554487.938,902077.76
"China","1000 No",2021,1458174.603,743583.206,714591.397,540439.367,920173.874
"China","1000 No",2022,1456769.951,742400.113,714369.838,526626.069,937461.423
"China, Hong Kong SAR","1000 No",2017,7444.891,3382.762,4062.13,0,7364.883
"China, Hong Kong SAR","1000 No",2018,7471.194,3388.61,4082.584,0,7428.887
"China, Hong Kong SAR","1000 No",2019,7485.813,3388.166,4097.646,0,7490.776
"China, Hong Kong SAR","1000 No",2020,7490.235,3382.707,4107.529,0,7547.652
"China, Hong Kong SAR","1000 No",2021,7484.601,3377.05,4107.551,0,7598.189
"China, Hong Kong SAR","1000 No",2022,7465.915,3367.865,4098.05,0,7643.256
"China, Macao SAR","1000 No",2017,646.554,302.769,343.785,0,622.567
"China, Macao SAR","1000 No",2018,658.772,307.715,351.057,0,632.418
"China, Macao SAR","1000 No",2019,670.974,312.603,358.371,0,642.09
"China, Macao SAR","1000 No",2020,683.067,317.396,365.671,0,651.875
"China, Macao SAR","1000 No",2021,694.402,321.89,372.512,0,661.838
"China, Macao SAR","1000 No",2022,704.356,325.768,378.589,0,671.858
"China, mainland","1000 No",2017,1412354.727,722262.972,690091.755,592559.784,816957.613
"China, mainland","1000 No",2018,1419008.956,725405.723,693603.233,578023.833,837022.095
"China, mainland","1000 No",2019,1423520.357,727474.139,696046.218,563652.725,856409.297
"China, mainland","1000 No",2020,1426106.093,728451.612,697654.481,549472.347,875075.919
"China, mainland","1000 No",2021,1426437.267,728193.405,698243.861,535503.24,892977.294
"China, mainland","1000 No",2022,1425179.569,727090.905,698088.664,521768.901,910080.75
"China, Taiwan Province of","1000 No",2017,23632.948,11782.16,11850.788,5256.736,18369.72
"China, Taiwan Province of","1000 No",2018,23659.305,11777.196,11882.109,5175.798,18518.291
"China, Taiwan Province of","1000 No",2019,23674.138,11767.891,11906.246,5095.473,18662.774
"China, Taiwan Province of","1000 No",2020,23663.459,11749.427,11914.031,5015.591,18802.314
"China, Taiwan Province of","1000 No",2021,23558.332,11690.86,11867.472,4936.127,18936.553
"China, Taiwan Province of","1000 No",2022,23420.111,11615.575,11804.536,4857.168,19065.559
"Colombia","1000 No",2017,48131.078,23789.069,24342.009,9594.518,39471.097
"Colombia","1000 No",2018,49024.465,24229.13,24795.336,9508.27,39956.413
"Colombia","1000 No",2019,49907.985,24664.044,25243.941,9419.54,40430.278
"Colombia","1000 No",2020,50629.998,25013.1,25616.897,9328.416,40891.996
"Colombia","1000 No",2021,51188.173,25273.27,25914.904,9235.053,41341.142
"Colombia","1000 No",2022,51737.944,25533.693,26204.251,9139.671,41777.604
"Comoros","1000 No",2017,756.669,380.485,376.185,579.639,234.273
"Comoros","1000 No",2018,771.59,388.069,383.521,591.255,241.092
"Comoros","1000 No",2019,786.578,395.681,390.897,602.75,248.16
"Comoros","1000 No",2020,802.163,403.523,398.64,614.114,255.487
"Comoros","1000 No",2021,818.174,411.524,406.65,625.324,263.083
"Comoros","1000 No",2022,834.188,419.558,414.63,636.352,270.954
"Congo","1000 No",2017,5351.011,2675.61,2675.401,1764.522,3496.228
"Congo","1000 No",2018,5483.118,2741.74,2741.378,1786.495,3613.4
"Congo","1000 No",2019,5616.661,2808.561,2808.099,1808.264,3733.933
"Congo","1000 No",2020,5752.791,2876.519,2876.271,1829.564,3857.353
"Congo","1000 No",2021,5892.183,2946.068,2946.115,1850.391,3983.698
"Congo","1000 No",2022,6035.104,3017.464,3017.64,1870.877,4113.312
"Cook Islands","1000 No",2017,17.047,8.357,8.69,4.374,13.006
"Cook Islands","1000 No",2018,16.596,8.149,8.448,4.344,13.067
"Cook Islands","1000 No",2019,16.129,7.934,8.195,4.318,13.144
"Cook Islands","1000 No",2020,15.643,7.705,7.938,4.292,13.223
"Cook Islands","1000 No",2021,15.182,7.476,7.707,4.261,13.289
"Cook Islands","1000 No",2022,14.723,7.237,7.487,4.231,13.358
"Costa Rica","1000 No",2017,4913.177,2432.341,2480.836,1051.813,3853.956
"Costa Rica","1000 No",2018,4957.818,2454.074,2503.744,1023.354,3929.845
"Costa Rica","1000 No",2019,4999.553,2474.298,2525.255,996.082,4003.302
"Costa Rica","1000 No",2020,5034.32,2490.812,2543.508,969.965,4074.214
"Costa Rica","1000 No",2021,5059.988,2502.349,2557.638,944.993,4142.55
"Costa Rica","1000 No",2022,5081.765,2512.039,2569.725,921.163,4208.353
"C̫te d'Ivoire","1000 No",2017,26733.372,13697.423,13035.949,12068.187,12226.563
"C̫te d'Ivoire","1000 No",2018,27464.173,14056.255,13407.917,12259.023,12646.82
"C̫te d'Ivoire","1000 No",2019,28193.009,14413.901,13779.108,12449.33,13081.753
"C̫te d'Ivoire","1000 No",2020,28915.449,14767.494,14147.956,12639.438,13532.312
"C̫te d'Ivoire","1000 No",2021,29639.736,15121.701,14518.035,12828.984,13998.744
"C̫te d'Ivoire","1000 No",2022,30395.002,15491.845,14903.156,13017.211,14480.845
"Croatia","1000 No",2017,4079.2,1964.676,2114.524,1815.373,2373.98
"Croatia","1000 No",2018,4024.868,1938.516,2086.352,1793.077,2371.706
"Croatia","1000 No",2019,3986.334,1920.084,2066.25,1770.247,2369.901
"Croatia","1000 No",2020,3953.958,1904.87,2049.088,1747.114,2368.833
"Croatia","1000 No",2021,3924.61,1891.08,2033.53,1723.776,2368.602
"Croatia","1000 No",2022,3907.027,1883.201,2023.826,1700.237,2369.184
"Cuba","1000 No",2017,11247.829,5575.242,5672.587,2644.108,8840.528
"Cuba","1000 No",2018,11227.118,5561.949,5665.168,2638.265,8850.817
"Cuba","1000 No",2019,11202.846,5546.807,5656.039,2630.623,8861.423
"Cuba","1000 No",2020,11176.354,5530.297,5646.056,2621.644,8873.848
"Cuba","1000 No",2021,11122.168,5497.667,5624.501,2611.407,8888.324
"Cuba","1000 No",2022,11059.82,5461.345,5598.475,2599.761,8904.281
"Cura̤ao","1000 No",2017,168.516,77.32,91.195,17.333,143.206
"Cura̤ao","1000 No",2018,181.583,85.8,95.783,17.54,144.037
"Cura̤ao","1000 No",2019,189.543,90.936,98.607,17.721,144.826
"Cura̤ao","1000 No",2020,185.018,87.928,97.09,17.883,145.612
"Cura̤ao","1000 No",2021,185.315,88.117,97.198,18.029,146.429
"Cura̤ao","1000 No",2022,185.345,88.14,97.204,18.157,147.273
"Cyprus","1000 No",2017,1254.275,633.043,621.232,391.192,788.359
"Cyprus","1000 No",2018,1270.737,641.146,629.591,394.652,794.433
"Cyprus","1000 No",2019,1286.671,649.029,637.642,397.812,800.615
"Cyprus","1000 No",2020,1302.247,656.653,645.595,400.589,806.754
"Cyprus","1000 No",2021,1317.309,663.942,653.366,402.982,812.868
"Cyprus","1000 No",2022,1331.37,670.824,660.545,405.014,819.014
"Czechia","1000 No",2017,10541.342,5190.135,5351.207,2795.276,7823.027
"Czechia","1000 No",2018,10548.937,5196.327,5352.61,2784.67,7840.58
"Czechia","1000 No",2019,10554.875,5201.455,5353.42,2772.368,7858.221
"Czechia","1000 No",2020,10550.129,5200.635,5349.494,2758.156,7875.268
"Czechia","1000 No",2021,10530.683,5191.175,5339.508,2742.083,7891.767
"Czechia","1000 No",2022,10673.213,5262.083,5411.131,2724.286,7908.002
"Czechoslovakia","1000 No",2017,NA,NA,NA,NA,NA
