"country","year","energy_supply","protein_supply","fat_supply","carbohydrate_supply","dietary_fibre_supply","calcium_supply","iron_supply","zinc_supply","magnesium_supply","phosphorus_supply","potassium_supply","thiamin_supply","riboflavin_supply","vitamin_c_supply","vitamin_a_supply_retinol_equivalents","vitamin_a_supply_retinol_activity_equivalents","copper_supply","docosahexaenoic_acid_supply","vitamin_b6_supply","eicosapentaenoic_acid_supply","selenium_supply","vitamin_b12_supply","total_saturated_fatty_acids_supply","total_monounsaturated_fatty_acids_supply","total_polyunsaturated_fatty_acids_supply"
"Democratic People's Republic of Korea",2018,2004,57.6,34.2,334.6,35.8,524,15.7,9.07,411,1067,3005,1.37,0.9,212,1172,617,0.03,0.08,0.05,0.05,7,0.9,0.22,0.36,0.21
"Democratic People's Republic of Korea",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic People's Republic of Korea",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic People's Republic of Korea",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic People's Republic of Korea",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic Republic of the Congo",2017,2192,30.6,26.5,429,49.9,322,11.9,13.94,346,681,3659,1.51,0.48,328,615,327,0.01,0.03,0.02,0.02,2,0.36,0.1,0.15,0.09
"Democratic Republic of the Congo",2018,2172,30.2,26.2,425.6,49.4,321,11.8,13.87,341,672,3632,1.49,0.47,326,609,323,0.01,0.03,0.02,0.02,2,0.35,0.1,0.15,0.09
"Democratic Republic of the Congo",2019,2162,29.9,25.8,424.4,49,317,11.7,13.78,334,658,3606,1.48,0.47,327,623,332,0.01,0.03,0.02,0.02,2,0.32,0.09,0.14,0.09
"Democratic Republic of the Congo",2020,2095,29.2,24,413.4,47.7,308,11.6,13.43,330,655,3487,1.45,0.48,314,679,399,0.01,0.03,0.02,0.02,2,0.28,0.08,0.12,0.08
"Democratic Republic of the Congo",2021,2117,29.6,22.3,421.8,48.6,317,11.8,13.66,332,662,3536,1.47,0.49,320,693,412,0.01,0.03,0.02,0.02,2,0.28,0.08,0.12,0.08
"Democratic Republic of the Congo",2022,2150,29.9,22.1,429.8,49.3,337,11.9,13.96,336,678,3593,1.49,0.5,326,676,392,0.01,0.03,0.02,0.02,2,0.28,0.08,0.12,0.08
"Denmark",2017,3443,115.2,137.3,391,30.5,1304,17.4,15.45,431,1994,3669,1.58,2.33,131,1573,1228,0.07,0.73,0.12,0.79,19,1.94,2.38,3.46,2.61
"Denmark",2018,3574,118.9,152.6,386.3,28.7,1420,17.5,15.76,434,2063,3805,1.58,2.52,138,1709,1325,0.07,1.63,0.11,1.93,18,1.81,5.53,7.97,5.74
"Denmark",2019,3580,113.8,157.1,383.7,28.5,1441,15.9,15.11,434,2020,3742,1.49,2.36,131,1451,1113,0.08,1.56,0.11,1.85,18,1.82,5.29,7.62,5.49
"Denmark",2020,3597,114.5,154.8,389.5,29.4,1543,16.5,15.39,452,2104,3892,1.52,2.47,132,1356,1046,0.08,1.56,0.11,1.85,18,1.82,5.29,7.62,5.49
"Denmark",2021,3584,113.2,150.1,397.7,29.4,1551,15.9,15.4,465,2140,4018,1.62,2.57,132,1276,997,0.08,1.56,0.11,1.85,18,1.82,5.29,7.62,5.49
"Denmark",2022,3595,112.9,143.4,411.1,28.9,1554,15.5,15.25,461,2145,3941,1.63,2.6,136,1255,1003,0.08,1.56,0.11,1.85,18,1.82,5.29,7.62,5.49
"Djibouti",2017,2755,73.5,63.1,456,31.8,698,15.8,10.18,376,1302,2797,1.7,1.63,110,859,542,0,0.03,0.02,0.02,2,0.26,0.07,0.1,0.09
"Djibouti",2018,2788,73.3,62.5,466,31.2,622,15.1,10.15,362,1278,2620,1.7,1.55,97,760,488,0.01,0.04,0.02,0.02,3,0.33,0.1,0.14,0.13
"Djibouti",2019,2794,73,63.9,464.4,32,664,15.8,10.27,369,1309,2700,1.73,1.48,90,774,499,0.01,0.03,0.02,0.02,3,0.33,0.09,0.13,0.12
"Djibouti",2020,2803,73.7,66,459.8,33.8,708,16.4,10.59,378,1314,2690,1.72,1.39,83,726,470,0.01,0.03,0.02,0.02,3,0.33,0.09,0.13,0.12
"Djibouti",2021,2802,75.7,67.8,454,33.7,767,16.7,10.73,382,1384,2863,1.81,1.43,90,854,539,0.01,0.03,0.02,0.02,3,0.33,0.09,0.13,0.12
"Djibouti",2022,2766,72.3,67.5,448.4,32.9,631,16.1,10.33,366,1259,2494,1.72,1.22,74,740,470,0.01,0.03,0.02,0.02,3,0.33,0.09,0.13,0.12
"Dominica",2017,2963,94.8,82.8,422.5,42.8,1169,18.2,12.87,514,1766,5444,1.86,2.01,402,1412,915,0.04,0.28,0.15,0.17,22,2.68,0.74,1.1,0.94
"Dominica",2018,2944,91.7,85.4,414.4,43.4,1069,18.5,12.72,512,1692,5430,1.81,1.9,394,1396,900,0.04,0.25,0.13,0.15,19,2.41,0.66,1.01,0.79
"Dominica",2019,2993,95.5,90,410.5,44,1015,18.7,13.01,508,1674,5358,1.83,1.81,401,1342,867,0.04,0.26,0.14,0.16,20,2.57,0.68,1.05,0.8
"Dominica",2020,2950,97,85.9,405,45.6,1058,19.9,13.38,522,1684,5606,1.85,1.85,425,1453,927,0.03,0.2,0.11,0.12,15,1.89,0.53,0.82,0.67
"Dominica",2021,3010,102.2,96.7,385.5,50.4,1128,23.5,15.12,606,1905,6189,2.18,2.11,470,1474,953,0.03,0.16,0.08,0.1,12,1.52,0.44,0.68,0.56
"Dominica",2022,3001,98.3,99.6,380.9,49.7,1119,23.8,14.75,594,1859,6079,2.14,2.1,455,1452,958,0.03,0.16,0.08,0.1,12,1.52,0.44,0.68,0.56
"Dominican Republic",2017,2938,70.6,109.4,386.8,34.2,670,11.9,9.79,385,1221,3892,1.27,1.42,231,793,521,0.02,0.06,0.03,0.03,5,0.55,0.15,0.24,0.19
"Dominican Republic",2018,2999,76,107.5,399.1,37.1,755,14.2,10.67,427,1317,4268,1.4,1.65,271,1381,993,0.02,0.07,0.04,0.05,6,0.74,0.19,0.31,0.24
"Dominican Republic",2019,3050,77.2,107.4,408.7,38.8,783,14.5,10.9,440,1351,4429,1.42,1.68,285,1364,962,0.02,0.06,0.03,0.04,5,0.57,0.16,0.25,0.2
"Dominican Republic",2020,3100,78.4,105.7,423.2,39.3,802,15.1,11.05,446,1364,4421,1.46,1.64,269,1251,857,0.02,0.06,0.03,0.04,5,0.57,0.16,0.25,0.2
"Dominican Republic",2021,3149,81.1,105.8,430.7,39.3,784,15,11.26,449,1388,4439,1.48,1.65,270,1287,898,0.02,0.06,0.03,0.04,5,0.57,0.16,0.25,0.2
"Dominican Republic",2022,3229,83.4,111.7,433.1,42.1,848,15.7,11.56,479,1429,4806,1.53,1.77,312,1556,1049,0.02,0.06,0.03,0.04,5,0.57,0.16,0.25,0.2
"Ecuador",2017,2559,67.4,96.8,336.2,20.1,492,9.9,9.09,282,1118,2084,1.21,1.01,65,545,448,0.01,0.04,0.03,0.02,4,0.43,0.12,0.16,0.11
"Ecuador",2018,2547,66,96.7,334.5,19.3,467,9.8,8.98,276,1095,1939,1.21,0.97,54,515,428,0.03,0.03,0.02,0.02,4,0.41,0.08,0.11,0.08
"Ecuador",2019,2508,66.8,93.5,331.2,19.6,494,9.9,9.09,280,1121,1964,1.19,1.02,55,532,444,0.03,0.03,0.02,0.02,4,0.41,0.09,0.12,0.08
"Ecuador",2020,2540,69.6,96.3,330.1,20.1,482,10.1,9.3,287,1143,2060,1.2,1.03,61,539,449,0.03,0.03,0.02,0.02,4,0.41,0.09,0.12,0.08
"Ecuador",2021,2562,69.1,104.7,318.4,17.1,545,9.2,9.06,256,1122,1980,1.11,1.07,59,548,458,0.03,0.03,0.02,0.02,4,0.41,0.09,0.12,0.08
"Ecuador",2022,2549,67.9,102.8,319.8,17.3,531,9.1,8.93,255,1101,1988,1.09,1.05,67,534,444,0.03,0.03,0.02,0.02,4,0.41,0.09,0.12,0.08
"Egypt",2017,3150,93.6,53,550.6,47.3,542,19.3,12.79,505,1578,3507,1.94,1.14,163,926,674,0.04,0.15,0.09,0.09,11,1.51,0.45,0.68,0.43
"Egypt",2018,3119,93.4,54.6,539.8,46.4,524,19.1,12.66,494,1556,3461,1.9,1.12,150,937,700,0.04,0.17,0.1,0.1,12,1.65,0.5,0.75,0.48
"Egypt",2019,3139,92.7,55.8,543.1,46,526,19,12.53,496,1564,3393,1.89,1.12,141,882,657,0.04,0.18,0.11,0.1,13,1.78,0.53,0.79,0.51
"Egypt",2020,3152,93.5,59.7,536.7,46.3,534,18.8,12.58,497,1571,3483,1.91,1.11,151,812,595,0.04,0.17,0.1,0.1,12,1.65,0.49,0.73,0.46
"Egypt",2021,3115,92,60.3,528.3,45.1,534,18,12.3,485,1546,3376,1.85,1.08,136,666,470,0.04,0.14,0.09,0.08,11,1.39,0.43,0.64,0.41
"Egypt",2022,3117,92.3,57.9,534.1,44.7,510,17.8,12.34,486,1545,3279,1.86,1.05,130,640,452,0.04,0.14,0.09,0.08,11,1.39,0.43,0.64,0.41
"El Salvador",2017,2727,79.5,65.8,425.8,37.8,729,15.4,10.79,460,1526,3366,1.58,1.37,117,747,528,0.02,0.06,0.04,0.03,5,0.64,0.15,0.21,0.16
"El Salvador",2018,2760,80.2,63.8,437.2,38.3,684,15.7,10.85,466,1522,3393,1.59,1.34,118,732,514,0.02,0.07,0.04,0.04,5,0.74,0.18,0.24,0.18
"El Salvador",2019,2822,84.8,66.7,441,39.8,706,16.4,11.54,486,1601,3429,1.68,1.38,114,756,542,0.02,0.06,0.04,0.03,5,0.67,0.16,0.22,0.17
"El Salvador",2020,2773,84.7,67.9,428.3,39.4,758,16.3,11.58,486,1623,3495,1.66,1.45,120,762,543,0.02,0.06,0.04,0.03,5,0.67,0.16,0.22,0.17
"El Salvador",2021,2803,85.1,72.2,422.7,39.6,722,16.3,11.59,481,1597,3503,1.67,1.38,131,799,564,0.02,0.06,0.04,0.03,5,0.67,0.16,0.22,0.17
"El Salvador",2022,2836,85,72.4,430.8,39.3,736,16.3,11.48,485,1616,3463,1.67,1.42,130,788,559,0.02,0.06,0.04,0.03,5,0.67,0.16,0.22,0.17
"Estonia",2017,3104,106.6,117,335,32.8,1488,15.8,14.6,459,2071,4120,1.81,2.35,144,1453,1096,0.05,0.07,0.04,0.04,8,0.77,0.17,0.25,0.18
"Estonia",2018,3200,111.1,125.7,342.3,33.4,1560,16.7,15.22,472,2148,4317,1.89,2.48,153,1632,1237,0.04,0.06,0.04,0.04,7,0.68,0.16,0.24,0.17
"Estonia",2019,3253,110.5,143.4,319.4,28.7,1684,14.7,14.74,443,2211,4136,1.79,2.67,123,1558,1233,0.03,0.06,0.04,0.04,7,0.66,0.16,0.24,0.17
"Estonia",2020,3247,107.9,143.2,319.9,27.1,1717,14.1,14.31,428,2195,4072,1.71,2.69,123,1565,1230,0.03,0.06,0.04,0.04,7,0.66,0.16,0.24,0.17
"Estonia",2021,3252,110.9,140,324.3,26.2,1741,14.2,14.58,433,2230,4022,1.74,2.71,117,1461,1162,0.03,0.06,0.04,0.04,7,0.66,0.16,0.24,0.17
"Estonia",2022,3298,110.6,139.5,336.5,26.9,1726,14.5,14.56,434,2221,4071,1.78,2.7,121,1482,1196,0.03,0.06,0.04,0.04,7,0.66,0.16,0.24,0.17
"Eswatini",2017,2432,58.7,52.7,402,28.8,483,14.3,8.92,373,1172,2621,1.35,1.06,112,590,452,0,0.03,0.02,0.02,3,0.22,0.08,0.11,0.09
"Eswatini",2018,2497,59.2,55.8,408.8,29.6,479,15,9.11,383,1180,2635,1.35,1.06,106,609,461,0.01,0.03,0.02,0.02,3,0.25,0.09,0.13,0.13
"Eswatini",2019,2487,59.2,54.9,408.7,29.5,451,14.4,9.03,385,1170,2616,1.34,1.04,109,639,491,0.01,0.03,0.02,0.02,3,0.27,0.1,0.14,0.13
"Eswatini",2020,2536,61.8,57.8,413.9,31,475,15.3,9.49,401,1217,2678,1.41,1.07,109,668,519,0.01,0.03,0.02,0.02,3,0.27,0.09,0.13,0.13
"Eswatini",2021,2549,60.8,61.6,406.7,31.1,546,15.6,9.35,404,1266,2760,1.48,1.13,116,623,471,0.01,0.03,0.02,0.02,3,0.23,0.08,0.11,0.1
"Eswatini",2022,2553,59.6,59.5,413,31.3,529,15.9,9.22,401,1242,2730,1.45,1.09,118,595,444,0.01,0.03,0.02,0.02,3,0.23,0.08,0.11,0.1
"Ethiopia",2017,2483,79,37.2,429,51.1,466,24.7,11.82,621,1466,2945,1.67,0.95,39,526,321,0,0,0,0,0,0.03,0.01,0.02,0.01
"Ethiopia",2018,2450,76.9,38.4,420.8,48.9,463,24.2,11.46,603,1421,2834,1.6,0.94,38,520,318,0,0,0,0,0,0.03,0.01,0.02,0.01
"Ethiopia",2019,2410,77.9,33.4,421,49.3,470,24,11.67,609,1447,2820,1.62,0.96,38,546,340,0,0,0,0,0,0.04,0.01,0.02,0.01
"Ethiopia",2020,2457,78.1,42,413.8,49.3,497,24,11.74,607,1455,2940,1.63,0.98,39,526,336,0,0,0,0,0,0.03,0.01,0.02,0.01
"Ethiopia",2021,2463,76.9,44.6,411.1,47.9,461,23.5,11.42,594,1409,2811,1.59,0.92,35,440,281,0,0,0,0,0,0.03,0.01,0.02,0.02
"Ethiopia",2022,2481,77.9,45.7,411.5,48.2,473,23.8,11.52,604,1426,2831,1.59,0.93,35,450,286,0,0,0,0,0,0.03,0.01,0.02,0.02
"Fiji",2017,2724,75,86.4,387.7,28.8,526,13.2,10.64,360,1252,3196,1.31,1.06,103,861,593,0.06,0.21,0.13,0.13,19,2.38,0.56,0.79,0.69
"Fiji",2018,2781,82.6,85,396.4,29.9,659,15.1,11.65,388,1407,3481,1.41,1.37,109,954,692,0.07,0.23,0.14,0.14,21,2.55,0.62,0.88,0.83
"Fiji",2019,2823,80.3,84.8,410.3,31.9,595,14.3,11.36,390,1361,3513,1.46,1.19,112,929,650,0.07,0.2,0.12,0.12,19,2.15,0.54,0.77,0.72
"Fiji",2020,2861,78.7,83.4,422.7,34.4,675,15.6,11.31,439,1377,3962,1.45,1.26,126,1043,701,0.07,0.2,0.12,0.12,19,2.15,0.54,0.77,0.72
"Fiji",2021,2897,79.3,87,425.4,34.6,733,15.8,11.63,435,1415,3967,1.47,1.34,131,1082,739,0.07,0.2,0.12,0.12,19,2.15,0.54,0.77,0.72
"Fiji",2022,2950,83,85.9,434.8,36.6,723,16.8,12.31,453,1454,4154,1.55,1.35,146,1139,765,0.07,0.2,0.12,0.12,19,2.15,0.54,0.77,0.72
"Finland",2017,3269,120.9,131.2,358.2,31.4,1580,16.1,15.94,447,2315,4006,2.1,2.55,117,1447,1160,0.04,0.24,0.14,0.14,16,1.79,0.67,1.06,0.8
"Finland",2018,3318,122.5,135,361.8,31.4,1615,16.1,16.11,451,2356,4110,2.12,2.65,118,1512,1211,0.04,0.23,0.13,0.13,15,1.75,0.63,0.98,0.74
"Finland",2019,3341,121.8,129,379.1,32.7,1634,16.3,16.02,458,2367,4174,2.1,2.68,122,1502,1202,0.04,0.23,0.13,0.14,16,1.73,0.64,1.02,0.78
"Finland",2020,3360,123.1,128.5,380.2,34.5,1649,17.1,16.27,475,2403,4233,2.14,2.71,120,1471,1171,0.04,0.23,0.13,0.14,16,1.73,0.64,1.02,0.78
"Finland",2021,3339,124.8,127.7,378,34.7,1647,17.2,16.55,473,2416,4240,2.15,2.73,117,1508,1224,0.04,0.23,0.13,0.14,16,1.73,0.64,1.02,0.78
"Finland",2022,3385,125.4,127.6,389.4,35.6,1649,17.7,16.56,482,2429,4241,2.2,2.73,115,1440,1155,0.04,0.23,0.13,0.14,16,1.73,0.64,1.02,0.78
"France",2017,3519,120.2,145.7,378.3,29.2,1116,17.3,15.34,439,1925,3920,1.89,2.05,144,1565,1204,0.1,0.24,0.1,0.19,18,2.12,0.7,1.06,0.83
"France",2018,3509,120,153.2,350.9,28.7,1104,17.3,15.3,439,1917,3788,1.87,2,136,1502,1188,0.1,0.25,0.1,0.2,18,2.17,0.73,1.11,0.86
"France",2019,3535,120.9,152.2,364.9,28,1157,16.5,15.36,431,1965,3769,1.83,2.02,130,1436,1167,0.1,0.24,0.1,0.19,18,2.1,0.69,1.06,0.82
"France",2020,3566,121.1,150,374,27.9,1163,16.5,15.39,436,1975,3782,1.82,2.04,126,1411,1152,0.1,0.24,0.1,0.19,18,2.1,0.69,1.06,0.82
"France",2021,3577,122.1,151.4,380.9,29.6,1225,17,15.64,449,2016,3858,1.88,2.06,133,1546,1225,0.1,0.24,0.1,0.19,18,2.1,0.69,1.06,0.82
"France",2022,3595,119.4,154.7,374.4,28,1154,16.3,15.27,430,1947,3644,1.8,1.97,120,1465,1186,0.1,0.24,0.1,0.19,18,2.1,0.69,1.06,0.82
"French Polynesia",2017,2772,101.9,112.1,312.2,22.2,859,15.5,12.48,343,1725,3100,1.65,1.82,119,989,821,0.09,0.34,0.21,0.2,31,3.78,0.88,1.22,0.98
"French Polynesia",2018,2764,104,113.2,305.7,20.6,865,15.5,12.69,337,1743,3024,1.67,1.86,117,1082,918,0.09,0.35,0.22,0.2,31,3.9,0.91,1.27,1.03
"French Polynesia",2019,2820,102.5,112.9,321.4,21.4,833,15.4,12.44,340,1722,3037,1.63,1.84,121,1042,885,0.09,0.34,0.22,0.2,31,3.91,0.89,1.22,0.97
"French Polynesia",2020,2864,103.6,118.7,320.8,22.4,818,15.6,12.78,346,1726,3087,1.54,1.89,118,1097,932,0.08,0.35,0.22,0.2,31,3.9,0.9,1.25,1
"French Polynesia",2021,2889,103.6,118.9,324.7,22.4,837,15.7,12.74,350,1746,3128,1.59,1.91,119,1099,943,0.09,0.34,0.21,0.2,30,3.89,0.89,1.22,0.99
"French Polynesia",2022,2882,105.5,119.4,320.9,21.9,848,15.9,13.04,345,1771,3108,1.6,1.94,118,1049,893,0.09,0.34,0.21,0.2,30,3.89,0.89,1.22,0.99
"Gabon",2017,2632,88.9,60.6,398.2,36.4,510,15.7,11.83,437,1386,4232,1.74,1.44,164,1179,918,0.04,0.22,0.12,0.14,17,2.06,0.62,0.94,0.74
"Gabon",2018,2655,90,56.4,411.6,36.7,493,15.6,11.84,437,1389,4204,1.73,1.4,161,1082,822,0.05,0.26,0.14,0.16,20,2.34,0.72,1.1,0.87
"Gabon",2019,2605,84.8,57.1,402.9,35,461,14.5,11.27,419,1313,4006,1.65,1.3,154,935,691,0.05,0.26,0.14,0.16,19,2.28,0.71,1.07,0.86
"Gabon",2020,2618,88.5,54.6,407.1,35.8,481,14.7,11.58,429,1366,4104,1.7,1.35,153,897,657,0.05,0.26,0.14,0.16,20,2.33,0.74,1.11,0.93
"Gabon",2021,2586,88.1,54.7,399.3,35.7,461,15.1,11.62,430,1355,4050,1.72,1.31,152,987,748,0.04,0.24,0.13,0.15,18,2.16,0.66,1,0.81
"Gabon",2022,2553,86.9,53,396.5,35.4,455,14.6,11.41,426,1338,3979,1.69,1.28,149,890,656,0.04,0.24,0.13,0.15,18,2.16,0.66,1,0.81
"Gambia",2017,2527,63.2,61.1,419.4,19.9,500,9.9,9.1,330,1173,1688,1.23,0.88,38,265,197,0.04,0.23,0.12,0.13,18,2.58,0.59,0.83,0.58
"Gambia",2018,2441,59.4,55.5,416.1,17.4,477,9.1,8.56,295,1084,1596,1.12,0.86,41,274,201,0.03,0.17,0.09,0.1,13,1.87,0.45,0.65,0.44
"Gambia",2019,2474,61.7,58.4,416,16.8,475,8.9,8.71,297,1110,1572,1.13,0.87,34,240,183,0.04,0.22,0.1,0.14,16,2.33,0.58,0.91,0.61
"Gambia",2020,2440,59.4,57.2,412.8,16,466,8.5,8.52,290,1081,1568,1.11,0.84,32,233,176,0.03,0.15,0.09,0.09,13,1.73,0.4,0.54,0.38
"Gambia",2021,2433,61.2,59.3,405,15.8,400,8.6,8.55,284,1044,1484,1.09,0.78,32,221,166,0.03,0.15,0.09,0.09,13,1.66,0.4,0.56,0.4
"Gambia",2022,2453,59,59.2,411.9,16.2,336,8.6,8.27,267,1006,1391,1.1,0.75,28,205,164,0.03,0.15,0.09,0.09,13,1.66,0.4,0.56,0.4
"Georgia",2017,2862,83.1,78,434.5,27.3,852,13.9,10.36,386,1527,2974,1.59,1.6,87,675,563,0.01,0.08,0.05,0.05,7,0.88,0.22,0.29,0.21
"Georgia",2018,2978,84.1,82.4,449.5,27.9,894,14.3,10.58,393,1563,3071,1.61,1.67,94,721,606,0.01,0.08,0.05,0.04,6,0.86,0.21,0.28,0.21
"Georgia",2019,3057,88.1,86.1,453,28.2,917,14.7,10.98,404,1618,3147,1.64,1.75,99,747,625,0.01,0.08,0.05,0.04,7,0.86,0.21,0.29,0.21
"Georgia",2020,3045,90.1,82.3,460.6,30.2,937,15.2,11.28,423,1662,3267,1.72,1.79,96,738,607,0.01,0.08,0.05,0.04,6,0.85,0.21,0.28,0.21
"Georgia",2021,3047,91,84,454.6,30.8,944,15.4,11.45,429,1682,3302,1.73,1.8,93,762,637,0.01,0.08,0.05,0.04,7,0.88,0.21,0.29,0.21
"Georgia",2022,3106,92.5,88.4,459.4,31.3,963,15.7,11.68,437,1714,3360,1.77,1.84,91,804,671,0.01,0.08,0.05,0.04,7,0.88,0.21,0.29,0.21
"Germany",2017,3575,109.5,147.9,396,29.6,1188,14.9,13.68,431,1878,3847,1.9,2.11,125,1193,890,0.03,0.09,0.05,0.05,8,0.71,0.25,0.4,0.31
"Germany",2018,3606,111.4,153.8,388.4,29.3,1210,15,13.85,431,1904,3811,1.92,2.13,121,1245,960,0.03,0.09,0.05,0.05,8,0.74,0.26,0.42,0.34
"Germany",2019,3634,110.9,165.9,372.8,28,1244,14.2,13.89,411,1901,3674,1.85,2.07,119,1214,938,0.03,0.09,0.05,0.05,8,0.73,0.26,0.41,0.32
"Germany",2020,3643,111,168.2,369.1,28,1272,14.4,13.99,421,1927,3749,1.84,2.12,124,1251,967,0.03,0.09,0.05,0.05,8,0.73,0.26,0.41,0.32
"Germany",2021,3620,110.6,165.1,372.4,28.4,1304,14.6,14.01,422,1940,3756,1.83,2.15,123,1284,987,0.03,0.09,0.05,0.05,8,0.73,0.26,0.41,0.32
"Germany",2022,3604,108.3,164.9,369.3,27.5,1306,14.1,13.65,411,1912,3675,1.76,2.15,116,1195,921,0.03,0.09,0.05,0.05,8,0.73,0.26,0.41,0.32
"Ghana",2017,2863,62.6,40.5,526.2,63.2,434,16.8,14.14,497,1182,5951,2,0.96,306,921,534,0.03,0.22,0.12,0.12,16,2.34,0.57,0.78,0.56
"Ghana",2018,2944,64.5,42.1,539.3,65.5,457,17.3,14.71,520,1232,6110,2.09,0.99,321,922,537,0.03,0.21,0.12,0.12,16,2.29,0.57,0.79,0.57
"Ghana",2019,3004,64.4,42,555.5,63.8,455,17,14.43,515,1242,6010,2.07,0.99,301,854,487,0.03,0.2,0.12,0.11,15,2.18,0.53,0.74,0.53
"Ghana",2020,3042,66.5,44.5,557.5,64.2,449,17.3,14.7,522,1260,5930,2.08,1,299,872,511,0.03,0.19,0.11,0.11,14,2.04,0.52,0.73,0.54
"Ghana",2021,3114,70.2,48.1,562.6,64.6,470,17.7,15.07,532,1316,6043,2.14,1.06,300,941,582,0.03,0.22,0.13,0.12,16,2.35,0.58,0.81,0.58
"Ghana",2022,3103,68.1,49,559.4,65.1,459,17.7,15.02,533,1288,6098,2.14,1.05,303,935,580,0.03,0.22,0.13,0.12,16,2.35,0.58,0.81,0.58
"Greece",2017,3383,105.8,152.3,360.8,33.8,1027,17.5,13.13,445,1765,3999,1.76,1.96,185,1284,983,0.12,0.1,0.07,0.05,12,1.38,0.25,0.33,0.28
"Greece",2018,3385,110.5,156.8,346.6,33.2,1055,17.4,13.4,448,1809,4089,1.74,1.98,193,1266,966,0.11,0.1,0.07,0.06,13,1.42,0.26,0.35,0.29
"Greece",2019,3419,107.7,165.5,339,32.5,1038,16.7,12.98,431,1774,4116,1.7,1.96,204,1248,970,0.12,0.11,0.08,0.06,14,1.55,0.29,0.39,0.33
"Greece",2020,3371,101.9,159.6,348.3,32.8,997,16.3,12.37,421,1693,3975,1.63,1.87,206,1203,928,0.09,0.09,0.06,0.05,11,1.17,0.23,0.31,0.27
"Greece",2021,3393,107.4,155.1,357.7,33.4,1038,16.9,13.01,446,1777,4031,1.7,1.99,194,1218,939,0.11,0.1,0.07,0.05,13,1.3,0.24,0.33,0.29
"Greece",2022,3398,108,155.9,357.9,33.6,1023,16.9,13.1,443,1775,4049,1.72,1.95,201,1179,930,0.11,0.1,0.07,0.05,13,1.3,0.24,0.33,0.29
"Grenada",2017,2473,86.1,86.6,301,28.7,1097,15.8,10.36,379,1703,3494,1.8,2.04,182,1040,684,0.04,0.2,0.11,0.12,16,2.18,0.51,0.74,0.54
"Grenada",2018,2535,91,92.3,298.9,28.2,1180,16,10.68,390,1799,3603,1.87,2.2,199,1111,732,0.06,0.31,0.16,0.18,23,3.21,0.79,1.15,0.87
"Grenada",2019,2502,91.2,92.4,291.9,27.3,1146,16.2,10.71,375,1797,3420,1.86,2.14,179,1115,761,0.05,0.28,0.15,0.17,21,2.89,0.72,1.07,0.81
"Grenada",2020,2544,94.8,100.2,285.3,28.2,1194,17.5,10.92,394,1882,3525,1.96,2.24,197,1219,862,0.05,0.28,0.15,0.17,21,2.89,0.72,1.07,0.81
"Grenada",2021,2617,100,98.8,301,30.7,1203,18.2,11.79,411,1932,3656,2.08,2.24,189,1158,815,0.05,0.28,0.15,0.17,21,2.89,0.72,1.07,0.81
"Grenada",2022,2614,96.5,101.7,290.7,28.3,1222,18.1,11.48,393,1933,3522,2.07,2.29,176,1173,853,0.05,0.28,0.15,0.17,21,2.89,0.72,1.07,0.81
"Guatemala",2017,2604,70.9,63.4,414.4,34.7,423,14.3,10.13,420,1259,2519,1.45,0.96,74,440,324,0.01,0.02,0.01,0.01,2,0.28,0.06,0.08,0.06
"Guatemala",2018,2586,69.1,63.6,411.8,33.8,404,13.8,9.82,408,1229,2499,1.41,0.95,71,431,319,0.02,0.02,0.02,0.01,2,0.3,0.06,0.09,0.07
"Guatemala",2019,2636,70.5,63.4,423.2,33.2,418,13.8,10.08,415,1245,2672,1.41,1.01,93,519,381,0.02,0.02,0.01,0.01,2,0.29,0.06,0.08,0.06
"Guatemala",2020,2712,71.6,65.7,435.6,32.9,424,13.9,10.1,418,1261,2794,1.39,1.07,96,534,395,0.02,0.02,0.01,0.01,2,0.29,0.06,0.08,0.06
"Guatemala",2021,2744,69.3,69.9,436.2,32.8,414,13.5,9.77,416,1223,2830,1.37,1.03,99,454,330,0.02,0.02,0.01,0.01,2,0.29,0.06,0.08,0.06
"Guatemala",2022,2791,72.2,67.7,449.4,33.7,391,13.7,10.02,420,1252,2922,1.4,1.04,100,481,342,0.02,0.02,0.01,0.01,2,0.29,0.06,0.08,0.06
"Guinea",2017,2696,54.4,70,444,34.7,414,13.5,11.44,372,1029,2825,1.43,0.77,174,756,470,0.02,0.1,0.04,0.06,7,1,0.27,0.43,0.26
"Guinea",2018,2755,55.9,68,461.2,35.7,410,13.8,11.85,384,1061,2895,1.49,0.77,178,766,479,0.02,0.1,0.05,0.06,7,1.05,0.27,0.43,0.27
"Guinea",2019,2813,56.9,73.3,462.5,36.3,419,14.1,12.16,384,1069,2956,1.51,0.78,183,784,492,0.02,0.1,0.05,0.06,7,1.02,0.27,0.4,0.25
